,Community Area Name,Latitude,Longitude,Property Type
2,Englewood,41.7725637689,-87.6324193182,Multifamily
3,Washington Park,41.7929745219,-87.6225685185,Senior HUD 202
4,Humboldt Park,41.8911727354,-87.7053383382,Multifamily
5,Grand Boulevard,41.8030397258,-87.60775488520001,Senior
6,Uptown,41.9712198343,-87.66124806049999,Multifamily
7,South Shore,41.7673529546,-87.5764779584,Multifamily
9,Near West Side,41.878125590399996,-87.67915412709999,Multifamily
10,Albany Park,41.9682242321,-87.7397474866,Senior
11,Grand Boulevard,41.813194927800005,-87.6263367998,Multifamily
14,Logan Square,41.9172552391,-87.71338923350001,Multifamily
15,Humboldt Park,41.9098923382,-87.7160529794,Multifamily
16,Near North Side,41.9095901427,-87.6332454838,Supportive
17,North Lawndale,41.8648427949,-87.6935089238,Multifamily
18,Pullman,41.7055665942,-87.60107403030001,Multifamily
19,Auburn Gresham,41.7505934139,-87.65472675459999,Senior HUD 202
20,Humboldt Park,41.893388822199995,-87.70756502799999,Multifamily
21,New City,41.8102854563,-87.6700222697,Multifamily
22,West Lawn,41.769475234699996,-87.740486055,Seniors
23,North Lawndale,41.8644879836,-87.69443508319999,Multifamily
24,Lower West Side,41.8586566959,-87.6765968934,Multifamily
25,Austin,41.8905193977,-87.7632486365,Multifamily
26,West Ridge,41.9918656495,-87.7095450826,Senior
27,West Ridge,41.9934415657,-87.6996454249,Senior
28,East Garfield Park,41.8696692769,-87.7156724506,Multifamily
29,Humboldt Park,41.8899681469,-87.70572939590001,Multifamily
30,Uptown,41.9575824413,-87.6563694357,Multifamily
31,Kenwood,41.8094408765,-87.6050334227,Multifamily
32,Logan Square,41.922824344,-87.6967431262,ARO
33,West Town,41.9015589973,-87.66759184200001,ARO
35,Douglas,41.830782180599996,-87.6267901762,Multifamily
36,Woodlawn,41.7786109444,-87.6047947203,Multifamily
37,Belmont Cragin,41.933648047199995,-87.7661803002,ARO
38,Oakland,41.8263705668,-87.6082867641,Multifamily
39,Oakland,41.8187118792,-87.5989457091,Multifamily
40,Roseland,41.7052697846,-87.6209818377,Inter-generational
