,Community Area Name,Latitude,Longitude,Property Type
41,Douglas,41.8242011421,-87.6262712265,Multifamily
42,Belmont Cragin,41.920791010500004,-87.7774775508,Senior
43,North Lawndale,41.8810923305,-87.7209100899,Multifamily
44,West Town,41.902878079000004,-87.68963252190001,Multifamily
45,East Garfield Park,41.8834651917,-87.7100399091,Multifamily
46,Austin,41.8784946733,-87.7649480305,Multifamily
48,West Englewood,41.779530386,-87.6665265092,Multifamily
49,Humboldt Park,41.8931766425,-87.70663121850001,Supportive Housing
50,Humboldt Park,41.891480351,-87.7111689514,Multifamily
51,Uptown,41.9665284532,-87.65171856389999,Multifamily
52,Washington Park,41.7952753031,-87.6223343775,People with Disabilities
53,Lower West Side,41.8546902787,-87.6564782084,Multifamily
54,Lakeview,41.9528696876,-87.6493401794,ARO
55,Loop,41.884579663000004,-87.6337568335,Multifamily
56,Austin,41.8947914314,-87.7592704828,Supportive/Teenage Moms
57,Woodlawn,41.7828034603,-87.59326131469999,Senior
58,Douglas,41.8271942191,-87.6278435793,Multifamily
59,Grand Boulevard,41.809520568800004,-87.614824016,Artist Live/Work Space
60,North Park,41.985931514200004,-87.72836921,Senior
61,Woodlawn,41.7761037074,-87.6023285746,Multifamily
62,South Deering,41.7153982408,-87.5687149518,Senior
63,Kenwood,41.8097139386,-87.6037533683,Multifamily
64,Near West Side,41.8835542602,-87.67195336719999,Multifamily
65,Oakland,41.819781287800005,-87.5999252673,Multifamily
66,East Garfield Park,41.8707255523,-87.7159079717,Multifamily
67,Roseland,41.7030773785,-87.62054467709999,Multifamily
68,Garfield Ridge,41.785354124899996,-87.80109799549999,Senior
69,North Lawndale,41.8673696101,-87.70066622540001,Multifamily
70,Bridgeport,41.8427291512,-87.6462472701,Senior
71,Near North Side,41.9037895847,-87.6398207738,Multifamily
72,Lincoln Square,41.9654975932,-87.68895433120001,ARO
74,South Chicago,41.7282135464,-87.5446927939,Senior
75,West Garfield Park,41.8775358858,-87.6970630483,Supportive Housing
76,Near North Side,41.9054382467,-87.64798274340001,Multifamily
77,North Lawndale,41.8553397217,-87.72471007629998,Multifamily
78,Grand Boulevard,41.809825649000004,-87.62299937680001,Multifamily
79,Near West Side,41.885564701,-87.6468550832,Supportive
80,Humboldt Park,41.891901620700004,-87.714839929,Multifamily
81,Uptown,41.9689734978,-87.67403032360001,ARO
82,Grand Boulevard,41.820349500300004,-87.6165141095,Multifamily
84,Hyde Park,41.7969631559,-87.5967353133,ARO
85,West Town,41.903230501399996,-87.667978248,ARO
86,North Lawndale,41.8657664016,-87.6931618352,Multifamily
87,East Garfield Park,41.872441377600005,-87.71958599450001,Multifamily
88,Near South Side,41.857792921,-87.62546236879999,Supportive Housing
89,Oakland,41.8181391197,-87.5993626833,Multifamily
90,Humboldt Park,41.8919294934,-87.7138283059,Multifamily
91,West Town,41.905457998,-87.6921618816,Multifamily
92,Grand Boulevard,41.816662565,-87.6222647175,Multifamily
93,Humboldt Park,41.8923700513,-87.7090486845,Multifamily
94,Woodlawn,41.7774890264,-87.5931497136,Multifamily
95,Humboldt Park,41.9098923382,-87.7160529794,Senior
97,Albany Park,41.9613586525,-87.6985441744,Senior
98,North Lawndale,41.8557715313,-87.73388790000001,65+/Supportive
99,Rogers Park,42.0075737709,-87.6651711448,Senior
100,Englewood,41.7849944939,-87.64506314489999,Supportive/Veterans
101,Montclare,41.9335002731,-87.8064419298,ARO
102,Oakland,41.8181350367,-87.598096559,Multifamily
103,Near West Side,41.8639940988,-87.6557523872,Multifamily
104,Auburn Gresham,41.7506486193,-87.65092232059999,Senior
105,North Center,41.9541446663,-87.6869750499,Senior
106,East Garfield Park,41.8836980221,-87.70890250020001,Supportive Housing
107,West Pullman,41.6746900779,-87.64051484229999,Supportive Housing
108,Humboldt Park,41.9029334898,-87.70762292379999,Multifamily
109,North Lawndale,41.864228447399995,-87.694427661,Multifamily
110,Grand Boulevard,41.8037545212,-87.6212170565,Supportive Housing
111,Lower West Side,41.8559075141,-87.6794329233,Multifamily
112,West Pullman,41.681590098600005,-87.6226276337,Senior
113,Near South Side,41.864026664899995,-87.622620427,Senior
114,Washington Park,41.7823319979,-87.6219876398,Senior
115,Grand Boulevard,41.8139709971,-87.6211916565,Multifamily
116,Uptown,41.9737005572,-87.65789193549999,Supportive Housing
117,Oakland,41.8189460276,-87.59897811559999,Multifamily
118,North Lawndale,41.8660400256,-87.72672414370001,Supportive/Youth/Kinship Families
120,Belmont Cragin,41.9334629306,-87.7467922468,Senior
121,Douglas,41.8290621083,-87.62716567780001,Multifamily
123,West Town,41.9103438337,-87.6934713169,Senior
124,Oakland,41.818812885599996,-87.5999659461,Multifamily
125,Englewood,41.7835589092,-87.6410928975,People with Disabilities
126,Woodlawn,41.7797573036,-87.60576962549999,Multifamily
127,Lower West Side,41.8560328733,-87.66936056549999,Multifamily
129,North Lawndale,41.8646833345,-87.6935047653,Multifamily
130,Avalon Park,41.753320860900004,-87.5954564009,Senior
131,Humboldt Park,41.891232279899995,-87.7053401173,Multifamily
133,Chicago Lawn,41.7781448626,-87.7038754099,Senior
134,Grand Boulevard,41.8203815435,-87.6143824354,Senior
135,Near West Side,41.8849038015,-87.6758507682,Multifamily
136,North Lawndale,41.8517027368,-87.72132688030001,Senior
137,Lower West Side,41.8565672424,-87.6507465232,Multifamily
138,Washington Park,41.7909803898,-87.62222411370001,Multifamily
139,Edgewater,41.985186775500004,-87.656808677,Senior
140,Grand Boulevard,41.803042216,-87.6075885068,Multigfamily
141,South Shore,41.7673820796,-87.58140538020001,Multifamily
142,South Chicago,41.728408775700004,-87.546822457,Multifamily
143,North Park,41.985931514200004,-87.72836921,Senior
144,Near South Side,41.854411400100005,-87.6299918764,Multifamily
145,Roseland,41.698995638,-87.6295434504,Supportive Housing
146,Lakeview,41.947401735,-87.6496365844,Senior LGBTQ
147,West Town,41.891310625500005,-87.6463244631,ARO
148,Auburn Gresham,41.7458601099,-87.6537601722,Supportive/Veterans
150,West Town,41.908768735900004,-87.6768915182,Supportive Housing
151,East Garfield Park,41.8804138115,-87.71084272979999,Multifamily/Artists
153,Logan Square,41.9172092811,-87.713682006,Multifamily
154,Humboldt Park,41.8901994819,-87.70473977540001,Multifamily
155,Woodlawn,41.7825052194,-87.5909616433,Multifamily
156,Hegewisch,41.648457411399995,-87.540123166,Senior
157,South Lawndale,41.849756884,-87.713204726,Multifamily
158,North Lawndale,41.8634109156,-87.7192916814,Multifamily
159,Humboldt Park,41.8912353311,-87.7126750163,Multifamily
160,Near South Side,41.8530133902,-87.628232211,Senior
161,Uptown,41.9635353994,-87.6517961908,Multifamily
162,Gage Park,41.786328045,-87.705136175,Senior
163,Lower West Side,41.8546147585,-87.65132209219999,Senior
164,Near North Side,41.9057310023,-87.64964596639999,Supportive Housing
165,Grand Boulevard,41.8043553511,-87.6090229601,Multifamily
166,West Town,41.9128086528,-87.701800063,Multifamily
167,Logan Square,41.9174438523,-87.689883619,ARO
168,Austin,41.886727420700005,-87.7701332901,Supportive Housing
169,Humboldt Park,41.8953589753,-87.7155751576,Disabled/Homeless
170,Douglas,41.8279253109,-87.62663571709999,Multifamily
171,Washington Park,41.7985499558,-87.6174566934,Senior
172,Humboldt Park,41.8919931605,-87.7076070703,Multifamily
173,Englewood,41.7916278176,-87.6452332087,Supportive Housing
174,Humboldt Park,41.9097870143,-87.7255819184,Senior
175,Uptown,41.9729461221,-87.6550671247,Supportive Housing
176,Near West Side,41.8822718277,-87.6659809767,Supportive
177,Grand Boulevard,41.8166019546,-87.6105564793,Multifamily
178,New City,41.8053101773,-87.6836299382,Multifamily
179,Albany Park,41.9689350644,-87.7086378257,Senior
180,North Lawndale,41.8648854853,-87.69474071389999,Multifamily
181,Washington Park,41.780403694499995,-87.6218374892,Multifamily
182,Montclare,41.9310497553,-87.7907721868,ARO
183,Rogers Park,42.0057709728,-87.6651110904,Supportive Housing
184,West Town,41.900487230500005,-87.7016066315,Supportive/Veterans
185,Oakland,41.8187489217,-87.5996033527,Multifamily
186,Woodlawn,41.7814311307,-87.5915208532,Multifamily
187,Woodlawn,41.7830011908,-87.6061319507,Senior
188,Logan Square,41.926278629,-87.70220923870001,Multifamily
189,Chatham,41.743873821,-87.6051761606,Senior
190,Chicago Lawn,41.7581541131,-87.6881061075,Senior
191,Hyde Park,41.7995978694,-87.5937610369,ARO
192,North Lawndale,41.8551333961,-87.7030673957,Multifamily
193,Douglas,41.8272089226,-87.6272267219,Mutifamily
195,North Lawndale,41.8658846962,-87.69353816729999,Multifamily
196,Edgewater,41.9856410954,-87.65538854409999,Senior
198,Oakland,41.8191492211,-87.6001650373,Multifamily
199,Austin,41.873765121,-87.7549712034,Multifamily
200,Hyde Park,41.8022605699,-87.5890043476,ARO
201,West Elsdon,41.8007828624,-87.7147366177,Multifamily
202,Logan Square,41.9172562069,-87.7003106605,ARO
203,Woodlawn,41.7831757851,-87.6058435155,Multifamily
204,Lower West Side,41.8551748018,-87.6506275348,Multifamily
205,West Town,41.9008907949,-87.6675722718,ARO
206,Avondale,41.9366673862,-87.7200977199,Supportive Housing
207,Douglas,41.8274458746,-87.6269496359,Multifamily
208,North Park,41.985931514200004,-87.72836921,Senior
209,Oakland,41.820357887,-87.60043601209999,Multifamily
210,East Garfield Park,41.8775358858,-87.6970630483,Supportive Housing
211,Humboldt Park,41.902923708,-87.7086160992,Multifamily
212,North Lawndale,41.8657711435,-87.6927414311,Multifamily
213,Montclare,41.9213082228,-87.79209095799999,Senior
214,North Lawndale,41.8648290106,-87.7066936632,Supportive/HIV/AIDS
215,Belmont Cragin,41.916960542,-87.7524724894,Senior
216,Woodlawn,41.7822309985,-87.598015727,Multifamily
217,Englewood,41.7809093636,-87.637617817,Supportive Housing
218,West Town,41.9103544922,-87.6943256397,Multifamily
219,Austin,41.9142183771,-87.7135842866,Multifamily
220,West Pullman,41.679506755,-87.6430113027,Senior
221,East Garfield Park,41.8866462303,-87.69655813600001,Senior
222,Rogers Park,42.017149711100004,-87.67317857329999,Senior
224,Douglas,41.8257532207,-87.6175174282,Senior
225,Uptown,41.9645923009,-87.6525054366,Multifamily
226,Near West Side,41.8784239004,-87.6873683543,Multifamily
228,Uptown,41.962630019,-87.650430429,ARO
229,Grand Boulevard,41.8129796596,-87.6247071273,Senior HUD 202
230,Lakeview,41.9543981834,-87.6532190636,ARO
232,West Town,41.9109720465,-87.6931945157,ARO
233,Logan Square,41.9209037608,-87.6938544995,ARO
234,Humboldt Park,41.9133256466,-87.7103171384,Multifamily
236,North Lawndale,41.864522074499995,-87.6935005875,Multifamily
237,Woodlawn,41.778493433899996,-87.6050724236,Multifamily
238,Grand Boulevard,41.816749643899996,-87.6166489475,Senior
239,West Garfield Park,41.8819692864,-87.7239926128,Senior
240,Near West Side,41.8670903488,-87.65767338129999,Multifamily
241,Washington Park,41.7895614137,-87.6221896343,Multifamily
242,Fuller Park,41.802413118400004,-87.6330525826,Senior
243,Auburn Gresham,41.7482223777,-87.64382569879999,Senior HUD 202
244,New City,41.794393695100005,-87.6472446717,Senior
245,Roseland,41.7038907515,-87.6207711553,Senior
246,Douglas,41.8290175865,-87.6266629487,Multifamily
247,Grand Boulevard,41.8038990623,-87.6108319018,Multifamily
248,Oakland,41.8188686278,-87.5985152379,Multifamily
249,North Lawndale,41.8641246191,-87.6944246698,Multifamily
251,West Ridge,41.9980221693,-87.6946311267,ARO
252,Uptown,41.9556850173,-87.6547251281,Senior
253,Washington Park,41.783730556900004,-87.6190897249,Multifamily
254,Grand Boulevard,41.819576474099996,-87.6084834879,Multifamily
255,South Chicago,41.7282198588,-87.54575578229999,Senior
256,Humboldt Park,41.8902013035,-87.7045868112,Multifamily
257,Near North Side,41.9035874398,-87.6443320836,ARO
258,Grand Boulevard,41.8155503961,-87.6228565224,Multifamily
259,Edgewater,41.9837729037,-87.6577038394,Multifamily
261,North Lawndale,41.8664397713,-87.71218086030001,Senior
262,Lakeview,41.9402281368,-87.6542634882,Supportive
263,Lower West Side,41.8583373045,-87.6590337725,Multifamily
264,Greater Grand Crossing,41.7679588345,-87.5891095264,Artist Housing
265,South Shore,41.7546866025,-87.5549647165,Senior
266,Humboldt Park,41.8919075104,-87.7159646599,Multifamily
267,West Town,41.9034150774,-87.6699714414,ARO
268,North Lawndale,41.8656817278,-87.69353304280001,Multifamily
269,Near South Side,41.8530133902,-87.628232211,Senior
270,West Town,41.9103537221,-87.694404013,Multifamily
271,Portage Park,41.9534456208,-87.7864337467,ARO
272,Humboldt Park,41.8921534052,-87.7075265659,Multifamily
273,Oakland,41.8185798091,-87.59938372190001,Multifamily
274,Near South Side,41.8457959044,-87.62040337469999,Senior
275,Ashburn,41.7497264566,-87.6932733372,Senior
276,North Lawndale,41.8647290398,-87.69473581950001,Multifamily
278,Grand Boulevard,41.8076990345,-87.6245595889,Multifamily
279,Logan Square,41.9247620985,-87.6906609777,Senior
280,Chicago Lawn,41.7792809902,-87.6896794864,Senior
283,North Lawndale,41.8553397217,-87.72471007629998,Multifamily
284,Near North Side,41.9036090085,-87.6430753954,Multifamily
285,Humboldt Park,41.9129903623,-87.72750390549999,Multifamily
286,Uptown,41.9744960685,-87.65651102209999,Senior
287,Humboldt Park,41.8909480951,-87.7138869273,Multifamily
288,Washington Heights,41.7316445313,-87.6579318552,Senior
289,Lower West Side,41.858768780300004,-87.66938207870001,Multifamily
291,Douglas,41.825555997600006,-87.6171784181,Senior
292,Edgewater,41.995015457600005,-87.6585160357,Multifamily
293,Oakland,41.8193803898,-87.5988793227,Multifamily
294,Austin,41.8758617765,-87.7413139552,Senior HUD 202
295,North Lawndale,41.865843892,-87.6923196475,Multifamily
296,Irving Park,41.9555313337,-87.7082078565,Senior
297,Woodlawn,41.7772869881,-87.5864933515,Multifamily
298,Grand Boulevard,41.8094135532,-87.6070855618,Multifamily
299,South Lawndale,41.8503913261,-87.71481389899999,Multifamily
301,North Lawndale,41.8630876114,-87.7042831894,Multifamily
302,Riverdale,41.6579312533,-87.6159174009,Senior
303,Douglas,41.8371769457,-87.6220397684,ARO
305,Lower West Side,41.8559793927,-87.65939108219999,Multifamily
306,Logan Square,41.9236568473,-87.69753122569999,ARO
308,South Shore,41.757871272399996,-87.5628598349,Senior
309,Austin,41.8773374951,-87.7642368505,Multifamily
310,Washington Park,41.782547068,-87.6203852293,Multifamily
311,Humboldt Park,41.8899923467,-87.7036867659,Supportive/Veterans
312,Uptown,41.967992713,-87.6626324087,Multifamily
313,Washington Park,41.7860493567,-87.6204757369,Multifamily
314,Chatham,41.7457569581,-87.6003199107,Supportive Housing
315,Uptown,41.9626536881,-87.6581928459,Multifamily
316,Lakeview,41.9405311557,-87.6663826053,Senior
317,Austin,41.8867327472,-87.7698395847,Senior
318,Englewood,41.7795999913,-87.6472689598,Supportive Housing
319,Logan Square,41.915869479499996,-87.6876342671,ARO
320,West Ridge,41.9875222634,-87.6897187055,ARO
321,Rogers Park,42.0075737709,-87.6651711448,Senior
323,Douglas,41.8286501893,-87.6263588794,Multifamily
324,North Center,41.9540720487,-87.67682369309999,ARO
325,Near West Side,41.866806049000004,-87.66169184209998,Senior
326,Grand Boulevard,41.8039101011,-87.6101417643,Multifamily
327,Washington Park,41.7937697184,-87.6181384856,Supportive/Kinship Families
328,Grand Boulevard,41.8209108342,-87.62652565389999,Multifamily
329,Lower West Side,41.8543483216,-87.6618752556,ARO
330,Near North Side,41.9021952433,-87.6359209164,ARO
331,Grand Boulevard,41.8166660946,-87.6090599647,Multifamily
332,Washington Park,41.7837016281,-87.6199427242,Multifamily
333,Roseland,41.7053419518,-87.6206450334,Senior
334,Douglas,41.8287362552,-87.62665511790001,Multifamily
335,Oakland,41.823919200700004,-87.6124684434,Multifamily
336,Belmont Cragin,41.9301265688,-87.74638853889999,Senior
337,North Lawndale,41.8592359223,-87.720240298,Multifamily
338,Lakeview,41.9406462133,-87.65140950809999,ARO
340,West Town,41.902818751,-87.69652555540002,Multifamily
342,East Garfield Park,41.8711971734,-87.71084842489999,Multifamily
343,Humboldt Park,41.909906497600005,-87.7146950394,Supportive/Males 18-24yrs.
344,West Town,41.9043420044,-87.667791761,ARO
345,Logan Square,41.9155235348,-87.720610728,Multifamily
346,Humboldt Park,41.890204016999995,-87.7043573374,Multifamily
347,Woodlawn,41.7769092523,-87.603953777,Multifamily
349,Auburn Gresham,41.7358851523,-87.6641427166,Senior
350,Englewood,41.7773933302,-87.6482214016,Senior
351,Oakland,41.826317314,-87.6079454471,Senior
352,Humboldt Park,41.8936083276,-87.7072018666,Multifamily
353,East Garfield Park,41.8698245594,-87.7159038458,Multifamily
354,West Garfield Park,41.8809676236,-87.7209069325,Senior
355,Near West Side,41.8828067022,-87.6792681084,Multifamily
356,New City,41.8083640191,-87.666033435,Senior
357,Montclare,41.9271648255,-87.80621904430001,ARO
358,North Lawndale,41.8633981467,-87.6944018945,Multifamily
359,West Ridge,41.9908491577,-87.6759930884,Senior
360,Uptown,41.9736177254,-87.6547892431,ARO
361,Grand Boulevard,41.8140608614,-87.6231122243,Multifamily
362,Near North Side,41.9036488171,-87.6404632193,Multifamily
363,Norwood Park,41.9846662832,-87.80707300790002,Senior
364,Jefferson Park,41.9783903918,-87.7743995653,Senior
365,Oakland,41.8188609893,-87.5992361922,Multifamily
366,Roseland,41.6930159121,-87.6277673462,Supportive Housing
368,Chicago Lawn,41.7792809902,-87.6896794864,Senior
369,Logan Square,41.9174946519,-87.7082658078,Multifamily
371,Hyde Park,41.7985717841,-87.5892145402,Multifamily
372,Brighton Park,41.8082058904,-87.70586473870001,Multifamily
373,Dunning,41.9576922115,-87.7975440334,Senior
374,West Town,41.8988951503,-87.68677642520001,ARO
375,Lower West Side,41.8546902787,-87.6564782084,Multifamily
377,Austin,41.875166755,-87.74216783780001,Senior HUD 202
378,Woodlawn,41.7814080037,-87.6058071228,Multifamily
379,North Lawndale,41.864336042800005,-87.6934956949,Multifamily
380,West Englewood,41.7791628235,-87.67703119709999,Multifamily
381,Portage Park,41.956396321599996,-87.74523588950001,Senior
382,Near North Side,41.9005252379,-87.64295527530001,Multifamily
383,South Lawndale,41.842476558,-87.713667149,Multifamily
384,Greater Grand Crossing,41.7675160252,-87.6271720535,Multifamily
385,Near West Side,41.8769819546,-87.69022214430001,Multifamily
387,Auburn Gresham,41.740186358,-87.63781991280001,Multifamily
388,Oakland,41.8195724964,-87.5992908459,Multifamily
389,Humboldt Park,41.8917408493,-87.71055923950001,Multifamily
390,Humboldt Park,41.8905224214,-87.7050254597,Multifamily
391,Uptown,41.9618658533,-87.6561074284,Senior
392,North Lawndale,41.864890788800004,-87.69444711,Multifamily
393,Washington Park,41.7891520073,-87.62217907620001,People with Disabilities
394,Garfield Ridge,41.8074412435,-87.748566779,Senior
395,Lower West Side,41.854801938899996,-87.6513269744,Multifamily
396,West Town,41.8960751868,-87.6737358367,ARO
397,Grand Boulevard,41.820349500300004,-87.6165141095,Multifamily
398,North Lawndale,41.8655536764,-87.6925071703,Multifamily
399,Woodlawn,41.774931963200004,-87.5998709117,Multifamily
400,West Town,41.9070850396,-87.6946179242,Multifamily
401,South Shore,41.7734357917,-87.567783821,Senior
402,Woodlawn,41.7839509995,-87.6058433794,Multifamily
403,Humboldt Park,41.891698706999996,-87.71492194790001,Multifamily
404,Douglas,41.845652911799995,-87.617816391,Multifamily
405,Austin,41.8775981392,-87.7646186402,Multifamily
406,Lincoln Square,41.9723567701,-87.6749222533,ARO
407,Lower West Side,41.8550270973,-87.6623303609,Multifamily
408,Englewood,41.7746676247,-87.6315301982,Senior
409,East Garfiled Park,41.8763846236,-87.7136119356,Multifamily
411,North Lawndale,41.8664232575,-87.6937538097,Multifamily
412,Washington Park,41.7839382764,-87.61886624430001,Multifamily
413,Grand Boulevard,41.820074554,-87.62042329719999,Multifamily
414,Humboldt Park,41.9025857989,-87.7107605283,Supportive Housing
415,North Lawndale,41.8673696101,-87.70066622540001,Multifamily
416,Near West Side,41.8838079875,-87.6828170157,Multifamily
417,South Chicago,41.7419591238,-87.5598598952,Supportive Housing
418,Uptown,41.9653393681,-87.65347905700001,Multifamily
419,Humboldt Park,41.8909079269,-87.7135917923,Multifamily
420,Washington Heights,41.707009427399996,-87.64478166030001,Senior
421,Grand Boulevard,41.8192285127,-87.6164517753,Multifamily
422,Pullman,41.6897637422,-87.62239508489999,Senior
423,Near North Side,41.902989721,-87.6410428925,Multfamily
424,Near South Side,41.854535033000005,-87.62726773879999,Multifamily
425,Washington Park,41.7857009548,-87.6217485015,Multifamily
426,Near West Side,41.8616698673,-87.659631083,Senior
427,Grand Boulevard,41.804133024,-87.60993411959998,Multifamily
