,Date,Community Area,Primary Type,Number
0,01/01/2001,1.0,DECEPTIVE PRACTICE,3
1,01/01/2001,1.0,OFFENSE INVOLVING CHILDREN,2
2,01/01/2001,1.0,THEFT,2
3,01/01/2001,1.0,DECEPTIVE PRACTICE,3
4,01/01/2001,1.0,OFFENSE INVOLVING CHILDREN,2
5,01/01/2001,1.0,THEFT,2
6,01/01/2001,1.0,DECEPTIVE PRACTICE,3
7,01/01/2001,1.0,OFFENSE INVOLVING CHILDREN,2
8,01/01/2001,1.0,THEFT,2
9,01/01/2001,3.0,OFFENSE INVOLVING CHILDREN,1
10,01/01/2001,3.0,SEX OFFENSE,1
11,01/01/2001,3.0,THEFT,3
12,01/01/2001,3.0,OFFENSE INVOLVING CHILDREN,1
13,01/01/2001,3.0,SEX OFFENSE,1
14,01/01/2001,3.0,THEFT,3
15,01/01/2001,3.0,OFFENSE INVOLVING CHILDREN,1
16,01/01/2001,3.0,SEX OFFENSE,1
17,01/01/2001,3.0,THEFT,3
18,01/01/2001,4.0,OFFENSE INVOLVING CHILDREN,1
19,01/01/2001,6.0,THEFT,2
20,01/01/2001,7.0,OFFENSE INVOLVING CHILDREN,1
21,01/01/2001,7.0,THEFT,2
22,01/01/2001,7.0,OFFENSE INVOLVING CHILDREN,1
23,01/01/2001,7.0,THEFT,2
24,01/01/2001,8.0,DECEPTIVE PRACTICE,2
25,01/01/2001,8.0,OTHER OFFENSE,1
26,01/01/2001,8.0,SEX OFFENSE,1
27,01/01/2001,8.0,THEFT,4
28,01/01/2001,8.0,DECEPTIVE PRACTICE,2
29,01/01/2001,8.0,OTHER OFFENSE,1
30,01/01/2001,8.0,SEX OFFENSE,1
31,01/01/2001,8.0,THEFT,4
32,01/01/2001,8.0,DECEPTIVE PRACTICE,2
33,01/01/2001,8.0,OTHER OFFENSE,1
34,01/01/2001,8.0,SEX OFFENSE,1
35,01/01/2001,8.0,THEFT,4
36,01/01/2001,8.0,DECEPTIVE PRACTICE,2
37,01/01/2001,8.0,OTHER OFFENSE,1
38,01/01/2001,8.0,SEX OFFENSE,1
39,01/01/2001,8.0,THEFT,4
40,01/01/2001,10.0,CRIM SEXUAL ASSAULT,1
41,01/01/2001,11.0,THEFT,1
42,01/01/2001,12.0,THEFT,1
43,01/01/2001,13.0,DECEPTIVE PRACTICE,1
44,01/01/2001,13.0,SEX OFFENSE,1
45,01/01/2001,13.0,DECEPTIVE PRACTICE,1
46,01/01/2001,13.0,SEX OFFENSE,1
47,01/01/2001,14.0,THEFT,2
48,01/01/2001,15.0,SEX OFFENSE,1
49,01/01/2001,15.0,THEFT,4
50,01/01/2001,15.0,SEX OFFENSE,1
51,01/01/2001,15.0,THEFT,4
52,01/01/2001,16.0,CRIM SEXUAL ASSAULT,1
53,01/01/2001,16.0,DECEPTIVE PRACTICE,1
54,01/01/2001,16.0,SEX OFFENSE,1
55,01/01/2001,16.0,THEFT,3
56,01/01/2001,16.0,CRIM SEXUAL ASSAULT,1
57,01/01/2001,16.0,DECEPTIVE PRACTICE,1
58,01/01/2001,16.0,SEX OFFENSE,1
59,01/01/2001,16.0,THEFT,3
60,01/01/2001,16.0,CRIM SEXUAL ASSAULT,1
61,01/01/2001,16.0,DECEPTIVE PRACTICE,1
62,01/01/2001,16.0,SEX OFFENSE,1
63,01/01/2001,16.0,THEFT,3
64,01/01/2001,16.0,CRIM SEXUAL ASSAULT,1
65,01/01/2001,16.0,DECEPTIVE PRACTICE,1
66,01/01/2001,16.0,SEX OFFENSE,1
67,01/01/2001,16.0,THEFT,3
68,01/01/2001,19.0,CRIM SEXUAL ASSAULT,2
69,01/01/2001,19.0,DECEPTIVE PRACTICE,1
70,01/01/2001,19.0,OFFENSE INVOLVING CHILDREN,3
71,01/01/2001,19.0,SEX OFFENSE,1
72,01/01/2001,19.0,THEFT,8
73,01/01/2001,19.0,CRIM SEXUAL ASSAULT,2
74,01/01/2001,19.0,DECEPTIVE PRACTICE,1
75,01/01/2001,19.0,OFFENSE INVOLVING CHILDREN,3
76,01/01/2001,19.0,SEX OFFENSE,1
77,01/01/2001,19.0,THEFT,8
78,01/01/2001,19.0,CRIM SEXUAL ASSAULT,2
79,01/01/2001,19.0,DECEPTIVE PRACTICE,1
80,01/01/2001,19.0,OFFENSE INVOLVING CHILDREN,3
81,01/01/2001,19.0,SEX OFFENSE,1
82,01/01/2001,19.0,THEFT,8
83,01/01/2001,19.0,CRIM SEXUAL ASSAULT,2
84,01/01/2001,19.0,DECEPTIVE PRACTICE,1
85,01/01/2001,19.0,OFFENSE INVOLVING CHILDREN,3
86,01/01/2001,19.0,SEX OFFENSE,1
87,01/01/2001,19.0,THEFT,8
88,01/01/2001,19.0,CRIM SEXUAL ASSAULT,2
89,01/01/2001,19.0,DECEPTIVE PRACTICE,1
90,01/01/2001,19.0,OFFENSE INVOLVING CHILDREN,3
91,01/01/2001,19.0,SEX OFFENSE,1
92,01/01/2001,19.0,THEFT,8
93,01/01/2001,20.0,CRIM SEXUAL ASSAULT,1
94,01/01/2001,20.0,OFFENSE INVOLVING CHILDREN,1
95,01/01/2001,20.0,THEFT,1
96,01/01/2001,20.0,CRIM SEXUAL ASSAULT,1
97,01/01/2001,20.0,OFFENSE INVOLVING CHILDREN,1
98,01/01/2001,20.0,THEFT,1
99,01/01/2001,20.0,CRIM SEXUAL ASSAULT,1
100,01/01/2001,20.0,OFFENSE INVOLVING CHILDREN,1
101,01/01/2001,20.0,THEFT,1
102,01/01/2001,21.0,OFFENSE INVOLVING CHILDREN,2
103,01/01/2001,22.0,HOMICIDE,1
104,01/01/2001,22.0,THEFT,3
105,01/01/2001,22.0,HOMICIDE,1
106,01/01/2001,22.0,THEFT,3
107,01/01/2001,23.0,CRIM SEXUAL ASSAULT,2
108,01/01/2001,23.0,OFFENSE INVOLVING CHILDREN,5
109,01/01/2001,23.0,SEX OFFENSE,1
110,01/01/2001,23.0,THEFT,10
111,01/01/2001,23.0,CRIM SEXUAL ASSAULT,2
112,01/01/2001,23.0,OFFENSE INVOLVING CHILDREN,5
113,01/01/2001,23.0,SEX OFFENSE,1
114,01/01/2001,23.0,THEFT,10
115,01/01/2001,23.0,CRIM SEXUAL ASSAULT,2
116,01/01/2001,23.0,OFFENSE INVOLVING CHILDREN,5
117,01/01/2001,23.0,SEX OFFENSE,1
118,01/01/2001,23.0,THEFT,10
119,01/01/2001,23.0,CRIM SEXUAL ASSAULT,2
120,01/01/2001,23.0,OFFENSE INVOLVING CHILDREN,5
121,01/01/2001,23.0,SEX OFFENSE,1
122,01/01/2001,23.0,THEFT,10
123,01/01/2001,24.0,CRIM SEXUAL ASSAULT,1
124,01/01/2001,24.0,OFFENSE INVOLVING CHILDREN,1
125,01/01/2001,24.0,THEFT,3
126,01/01/2001,24.0,CRIM SEXUAL ASSAULT,1
127,01/01/2001,24.0,OFFENSE INVOLVING CHILDREN,1
128,01/01/2001,24.0,THEFT,3
129,01/01/2001,24.0,CRIM SEXUAL ASSAULT,1
130,01/01/2001,24.0,OFFENSE INVOLVING CHILDREN,1
131,01/01/2001,24.0,THEFT,3
132,01/01/2001,25.0,CRIM SEXUAL ASSAULT,1
133,01/01/2001,25.0,DECEPTIVE PRACTICE,1
134,01/01/2001,25.0,OFFENSE INVOLVING CHILDREN,5
135,01/01/2001,25.0,THEFT,8
136,01/01/2001,25.0,CRIM SEXUAL ASSAULT,1
137,01/01/2001,25.0,DECEPTIVE PRACTICE,1
138,01/01/2001,25.0,OFFENSE INVOLVING CHILDREN,5
139,01/01/2001,25.0,THEFT,8
140,01/01/2001,25.0,CRIM SEXUAL ASSAULT,1
141,01/01/2001,25.0,DECEPTIVE PRACTICE,1
142,01/01/2001,25.0,OFFENSE INVOLVING CHILDREN,5
143,01/01/2001,25.0,THEFT,8
144,01/01/2001,25.0,CRIM SEXUAL ASSAULT,1
145,01/01/2001,25.0,DECEPTIVE PRACTICE,1
146,01/01/2001,25.0,OFFENSE INVOLVING CHILDREN,5
147,01/01/2001,25.0,THEFT,8
148,01/01/2001,26.0,CRIM SEXUAL ASSAULT,1
149,01/01/2001,26.0,THEFT,2
150,01/01/2001,26.0,CRIM SEXUAL ASSAULT,1
151,01/01/2001,26.0,THEFT,2
152,01/01/2001,27.0,OFFENSE INVOLVING CHILDREN,3
153,01/01/2001,27.0,SEX OFFENSE,1
154,01/01/2001,27.0,THEFT,2
155,01/01/2001,27.0,OFFENSE INVOLVING CHILDREN,3
156,01/01/2001,27.0,SEX OFFENSE,1
157,01/01/2001,27.0,THEFT,2
158,01/01/2001,27.0,OFFENSE INVOLVING CHILDREN,3
159,01/01/2001,27.0,SEX OFFENSE,1
160,01/01/2001,27.0,THEFT,2
161,01/01/2001,28.0,DECEPTIVE PRACTICE,1
162,01/01/2001,28.0,HOMICIDE,1
163,01/01/2001,28.0,OTHER OFFENSE,2
164,01/01/2001,28.0,THEFT,2
165,01/01/2001,28.0,DECEPTIVE PRACTICE,1
166,01/01/2001,28.0,HOMICIDE,1
167,01/01/2001,28.0,OTHER OFFENSE,2
168,01/01/2001,28.0,THEFT,2
169,01/01/2001,28.0,DECEPTIVE PRACTICE,1
170,01/01/2001,28.0,HOMICIDE,1
171,01/01/2001,28.0,OTHER OFFENSE,2
172,01/01/2001,28.0,THEFT,2
173,01/01/2001,28.0,DECEPTIVE PRACTICE,1
174,01/01/2001,28.0,HOMICIDE,1
175,01/01/2001,28.0,OTHER OFFENSE,2
176,01/01/2001,28.0,THEFT,2
177,01/01/2001,29.0,DECEPTIVE PRACTICE,1
178,01/01/2001,29.0,OFFENSE INVOLVING CHILDREN,3
179,01/01/2001,29.0,SEX OFFENSE,1
180,01/01/2001,29.0,THEFT,4
181,01/01/2001,29.0,DECEPTIVE PRACTICE,1
182,01/01/2001,29.0,OFFENSE INVOLVING CHILDREN,3
183,01/01/2001,29.0,SEX OFFENSE,1
184,01/01/2001,29.0,THEFT,4
185,01/01/2001,29.0,DECEPTIVE PRACTICE,1
186,01/01/2001,29.0,OFFENSE INVOLVING CHILDREN,3
187,01/01/2001,29.0,SEX OFFENSE,1
188,01/01/2001,29.0,THEFT,4
189,01/01/2001,29.0,DECEPTIVE PRACTICE,1
190,01/01/2001,29.0,OFFENSE INVOLVING CHILDREN,3
191,01/01/2001,29.0,SEX OFFENSE,1
192,01/01/2001,29.0,THEFT,4
193,01/01/2001,30.0,OFFENSE INVOLVING CHILDREN,2
194,01/01/2001,30.0,THEFT,3
195,01/01/2001,30.0,OFFENSE INVOLVING CHILDREN,2
196,01/01/2001,30.0,THEFT,3
197,01/01/2001,31.0,THEFT,1
198,01/01/2001,32.0,DECEPTIVE PRACTICE,1
199,01/01/2001,32.0,THEFT,4
200,01/01/2001,32.0,DECEPTIVE PRACTICE,1
201,01/01/2001,32.0,THEFT,4
202,01/01/2001,33.0,THEFT,2
203,01/01/2001,35.0,CRIM SEXUAL ASSAULT,1
204,01/01/2001,38.0,OFFENSE INVOLVING CHILDREN,2
205,01/01/2001,38.0,THEFT,1
206,01/01/2001,38.0,OFFENSE INVOLVING CHILDREN,2
207,01/01/2001,38.0,THEFT,1
208,01/01/2001,39.0,OFFENSE INVOLVING CHILDREN,1
209,01/01/2001,39.0,THEFT,1
210,01/01/2001,39.0,OFFENSE INVOLVING CHILDREN,1
211,01/01/2001,39.0,THEFT,1
212,01/01/2001,40.0,CRIM SEXUAL ASSAULT,1
213,01/01/2001,40.0,MOTOR VEHICLE THEFT,1
214,01/01/2001,40.0,OFFENSE INVOLVING CHILDREN,1
215,01/01/2001,40.0,THEFT,1
216,01/01/2001,40.0,CRIM SEXUAL ASSAULT,1
217,01/01/2001,40.0,MOTOR VEHICLE THEFT,1
218,01/01/2001,40.0,OFFENSE INVOLVING CHILDREN,1
219,01/01/2001,40.0,THEFT,1
220,01/01/2001,40.0,CRIM SEXUAL ASSAULT,1
221,01/01/2001,40.0,MOTOR VEHICLE THEFT,1
222,01/01/2001,40.0,OFFENSE INVOLVING CHILDREN,1
223,01/01/2001,40.0,THEFT,1
224,01/01/2001,40.0,CRIM SEXUAL ASSAULT,1
225,01/01/2001,40.0,MOTOR VEHICLE THEFT,1
226,01/01/2001,40.0,OFFENSE INVOLVING CHILDREN,1
227,01/01/2001,40.0,THEFT,1
228,01/01/2001,41.0,THEFT,2
229,01/01/2001,42.0,CRIM SEXUAL ASSAULT,2
230,01/01/2001,42.0,THEFT,1
231,01/01/2001,42.0,CRIM SEXUAL ASSAULT,2
232,01/01/2001,42.0,THEFT,1
233,01/01/2001,43.0,CRIM SEXUAL ASSAULT,1
234,01/01/2001,43.0,DECEPTIVE PRACTICE,1
235,01/01/2001,43.0,OFFENSE INVOLVING CHILDREN,1
236,01/01/2001,43.0,OTHER OFFENSE,1
237,01/01/2001,43.0,THEFT,3
238,01/01/2001,43.0,CRIM SEXUAL ASSAULT,1
239,01/01/2001,43.0,DECEPTIVE PRACTICE,1
240,01/01/2001,43.0,OFFENSE INVOLVING CHILDREN,1
241,01/01/2001,43.0,OTHER OFFENSE,1
242,01/01/2001,43.0,THEFT,3
243,01/01/2001,43.0,CRIM SEXUAL ASSAULT,1
244,01/01/2001,43.0,DECEPTIVE PRACTICE,1
245,01/01/2001,43.0,OFFENSE INVOLVING CHILDREN,1
246,01/01/2001,43.0,OTHER OFFENSE,1
247,01/01/2001,43.0,THEFT,3
248,01/01/2001,43.0,CRIM SEXUAL ASSAULT,1
249,01/01/2001,43.0,DECEPTIVE PRACTICE,1
250,01/01/2001,43.0,OFFENSE INVOLVING CHILDREN,1
251,01/01/2001,43.0,OTHER OFFENSE,1
252,01/01/2001,43.0,THEFT,3
253,01/01/2001,43.0,CRIM SEXUAL ASSAULT,1
254,01/01/2001,43.0,DECEPTIVE PRACTICE,1
255,01/01/2001,43.0,OFFENSE INVOLVING CHILDREN,1
256,01/01/2001,43.0,OTHER OFFENSE,1
257,01/01/2001,43.0,THEFT,3
258,01/01/2001,44.0,DECEPTIVE PRACTICE,1
259,01/01/2001,44.0,OFFENSE INVOLVING CHILDREN,2
260,01/01/2001,44.0,THEFT,1
261,01/01/2001,44.0,DECEPTIVE PRACTICE,1
262,01/01/2001,44.0,OFFENSE INVOLVING CHILDREN,2
263,01/01/2001,44.0,THEFT,1
264,01/01/2001,44.0,DECEPTIVE PRACTICE,1
265,01/01/2001,44.0,OFFENSE INVOLVING CHILDREN,2
266,01/01/2001,44.0,THEFT,1
267,01/01/2001,46.0,CRIM SEXUAL ASSAULT,3
268,01/01/2001,46.0,SEX OFFENSE,2
269,01/01/2001,46.0,THEFT,3
270,01/01/2001,46.0,CRIM SEXUAL ASSAULT,3
271,01/01/2001,46.0,SEX OFFENSE,2
272,01/01/2001,46.0,THEFT,3
273,01/01/2001,46.0,CRIM SEXUAL ASSAULT,3
274,01/01/2001,46.0,SEX OFFENSE,2
275,01/01/2001,46.0,THEFT,3
276,01/01/2001,48.0,THEFT,1
277,01/01/2001,49.0,CRIM SEXUAL ASSAULT,1
278,01/01/2001,49.0,OFFENSE INVOLVING CHILDREN,4
279,01/01/2001,49.0,THEFT,6
280,01/01/2001,49.0,CRIM SEXUAL ASSAULT,1
281,01/01/2001,49.0,OFFENSE INVOLVING CHILDREN,4
282,01/01/2001,49.0,THEFT,6
283,01/01/2001,49.0,CRIM SEXUAL ASSAULT,1
284,01/01/2001,49.0,OFFENSE INVOLVING CHILDREN,4
285,01/01/2001,49.0,THEFT,6
286,01/01/2001,50.0,CRIM SEXUAL ASSAULT,1
287,01/01/2001,50.0,OFFENSE INVOLVING CHILDREN,1
288,01/01/2001,50.0,OTHER OFFENSE,1
289,01/01/2001,50.0,THEFT,1
290,01/01/2001,50.0,CRIM SEXUAL ASSAULT,1
291,01/01/2001,50.0,OFFENSE INVOLVING CHILDREN,1
292,01/01/2001,50.0,OTHER OFFENSE,1
293,01/01/2001,50.0,THEFT,1
294,01/01/2001,50.0,CRIM SEXUAL ASSAULT,1
295,01/01/2001,50.0,OFFENSE INVOLVING CHILDREN,1
296,01/01/2001,50.0,OTHER OFFENSE,1
297,01/01/2001,50.0,THEFT,1
298,01/01/2001,50.0,CRIM SEXUAL ASSAULT,1
299,01/01/2001,50.0,OFFENSE INVOLVING CHILDREN,1
300,01/01/2001,50.0,OTHER OFFENSE,1
301,01/01/2001,50.0,THEFT,1
302,01/01/2001,52.0,THEFT,1
303,01/01/2001,53.0,THEFT,3
304,01/01/2001,54.0,THEFT,1
305,01/01/2001,56.0,MOTOR VEHICLE THEFT,1
306,01/01/2001,56.0,SEX OFFENSE,1
307,01/01/2001,56.0,MOTOR VEHICLE THEFT,1
308,01/01/2001,56.0,SEX OFFENSE,1
309,01/01/2001,58.0,DECEPTIVE PRACTICE,1
310,01/01/2001,58.0,OFFENSE INVOLVING CHILDREN,2
311,01/01/2001,58.0,SEX OFFENSE,1
312,01/01/2001,58.0,THEFT,2
313,01/01/2001,58.0,DECEPTIVE PRACTICE,1
314,01/01/2001,58.0,OFFENSE INVOLVING CHILDREN,2
315,01/01/2001,58.0,SEX OFFENSE,1
316,01/01/2001,58.0,THEFT,2
