,Date,Community Area,Primary Type,Number
0,01/01/2020,1,ASSAULT,1
1,01/01/2020,1,BATTERY,4
2,01/01/2020,1,CRIMINAL DAMAGE,2
3,01/01/2020,1,DECEPTIVE PRACTICE,1
4,01/01/2020,1,OTHER OFFENSE,1
5,01/01/2020,1,THEFT,1
6,01/01/2020,2,ASSAULT,1
7,01/01/2020,2,BATTERY,6
8,01/01/2020,2,CRIMINAL DAMAGE,1
9,01/01/2020,2,DECEPTIVE PRACTICE,1
10,01/01/2020,2,ROBBERY,1
11,01/01/2020,2,WEAPONS VIOLATION,1
12,01/01/2020,3,BATTERY,3
13,01/01/2020,3,CRIM SEXUAL ASSAULT,1
14,01/01/2020,3,CRIMINAL TRESPASS,1
15,01/01/2020,3,DECEPTIVE PRACTICE,2
16,01/01/2020,4,BATTERY,2
17,01/01/2020,4,CRIM SEXUAL ASSAULT,1
18,01/01/2020,4,CRIMINAL DAMAGE,3
19,01/01/2020,4,DECEPTIVE PRACTICE,1
20,01/01/2020,4,MOTOR VEHICLE THEFT,1
21,01/01/2020,5,MOTOR VEHICLE THEFT,1
22,01/01/2020,6,ASSAULT,3
23,01/01/2020,6,BATTERY,2
24,01/01/2020,6,BURGLARY,2
25,01/01/2020,6,CRIMINAL DAMAGE,3
26,01/01/2020,6,DECEPTIVE PRACTICE,1
27,01/01/2020,6,INTERFERENCE WITH PUBLIC OFFICER,1
28,01/01/2020,6,THEFT,6
29,01/01/2020,7,BATTERY,5
30,01/01/2020,7,ROBBERY,1
31,01/01/2020,7,THEFT,2
32,01/01/2020,8,ASSAULT,1
33,01/01/2020,8,BATTERY,14
34,01/01/2020,8,CRIM SEXUAL ASSAULT,2
35,01/01/2020,8,CRIMINAL TRESPASS,2
36,01/01/2020,8,DECEPTIVE PRACTICE,3
37,01/01/2020,8,INTERFERENCE WITH PUBLIC OFFICER,1
38,01/01/2020,8,OTHER OFFENSE,2
39,01/01/2020,8,THEFT,13
40,01/01/2020,8,WEAPONS VIOLATION,2
41,01/01/2020,9,BATTERY,1
42,01/01/2020,10,ASSAULT,1
43,01/01/2020,10,BATTERY,2
44,01/01/2020,10,OTHER OFFENSE,1
45,01/01/2020,11,CRIMINAL DAMAGE,1
46,01/01/2020,11,DECEPTIVE PRACTICE,1
47,01/01/2020,12,BATTERY,1
48,01/01/2020,12,CRIMINAL DAMAGE,1
49,01/01/2020,13,ASSAULT,1
50,01/01/2020,13,CRIMINAL DAMAGE,1
51,01/01/2020,13,THEFT,4
52,01/01/2020,14,BATTERY,2
53,01/01/2020,14,BURGLARY,1
54,01/01/2020,14,MOTOR VEHICLE THEFT,1
55,01/01/2020,14,NARCOTICS,2
56,01/01/2020,14,OTHER OFFENSE,1
57,01/01/2020,14,THEFT,3
58,01/01/2020,15,ASSAULT,2
59,01/01/2020,15,BATTERY,5
60,01/01/2020,15,CRIMINAL DAMAGE,2
61,01/01/2020,15,CRIMINAL TRESPASS,1
62,01/01/2020,15,MOTOR VEHICLE THEFT,1
63,01/01/2020,15,NARCOTICS,1
64,01/01/2020,15,OTHER OFFENSE,1
65,01/01/2020,16,BATTERY,4
66,01/01/2020,16,CRIMINAL DAMAGE,2
67,01/01/2020,16,MOTOR VEHICLE THEFT,1
68,01/01/2020,16,OTHER OFFENSE,3
69,01/01/2020,16,THEFT,1
70,01/01/2020,16,WEAPONS VIOLATION,1
71,01/01/2020,17,BATTERY,1
72,01/01/2020,17,DECEPTIVE PRACTICE,1
73,01/01/2020,18,BATTERY,1
74,01/01/2020,18,THEFT,1
75,01/01/2020,19,ASSAULT,1
76,01/01/2020,19,BATTERY,1
77,01/01/2020,19,CRIM SEXUAL ASSAULT,1
78,01/01/2020,19,CRIMINAL DAMAGE,2
79,01/01/2020,19,MOTOR VEHICLE THEFT,1
80,01/01/2020,19,NARCOTICS,1
81,01/01/2020,19,OFFENSE INVOLVING CHILDREN,1
82,01/01/2020,19,SEX OFFENSE,1
83,01/01/2020,19,THEFT,1
84,01/01/2020,19,WEAPONS VIOLATION,2
85,01/01/2020,20,ASSAULT,1
86,01/01/2020,20,BATTERY,1
87,01/01/2020,20,CRIMINAL DAMAGE,3
88,01/01/2020,20,ROBBERY,1
89,01/01/2020,20,THEFT,1
90,01/01/2020,20,WEAPONS VIOLATION,1
91,01/01/2020,21,BATTERY,1
92,01/01/2020,21,CRIMINAL TRESPASS,1
93,01/01/2020,21,THEFT,2
94,01/01/2020,22,BATTERY,6
95,01/01/2020,22,CRIMINAL DAMAGE,3
96,01/01/2020,22,CRIMINAL TRESPASS,1
97,01/01/2020,22,MOTOR VEHICLE THEFT,1
98,01/01/2020,22,OTHER OFFENSE,2
99,01/01/2020,22,THEFT,2
100,01/01/2020,23,ASSAULT,2
101,01/01/2020,23,BATTERY,3
102,01/01/2020,23,BURGLARY,1
103,01/01/2020,23,CRIM SEXUAL ASSAULT,1
104,01/01/2020,23,CRIMINAL DAMAGE,5
105,01/01/2020,23,CRIMINAL TRESPASS,1
106,01/01/2020,23,NARCOTICS,2
107,01/01/2020,23,THEFT,1
108,01/01/2020,23,WEAPONS VIOLATION,1
109,01/01/2020,24,ASSAULT,2
110,01/01/2020,24,BATTERY,6
111,01/01/2020,24,CRIMINAL DAMAGE,2
112,01/01/2020,24,MOTOR VEHICLE THEFT,1
113,01/01/2020,24,OTHER OFFENSE,1
114,01/01/2020,24,PUBLIC PEACE VIOLATION,1
115,01/01/2020,24,THEFT,2
116,01/01/2020,24,WEAPONS VIOLATION,1
117,01/01/2020,25,ASSAULT,9
118,01/01/2020,25,BATTERY,15
119,01/01/2020,25,CRIM SEXUAL ASSAULT,2
120,01/01/2020,25,CRIMINAL DAMAGE,4
121,01/01/2020,25,NARCOTICS,1
122,01/01/2020,25,OTHER OFFENSE,1
123,01/01/2020,25,ROBBERY,4
124,01/01/2020,25,SEX OFFENSE,1
125,01/01/2020,25,THEFT,4
126,01/01/2020,25,WEAPONS VIOLATION,1
127,01/01/2020,26,ASSAULT,2
128,01/01/2020,26,BATTERY,3
129,01/01/2020,26,CRIMINAL DAMAGE,1
130,01/01/2020,26,MOTOR VEHICLE THEFT,2
131,01/01/2020,26,NARCOTICS,1
132,01/01/2020,26,ROBBERY,4
133,01/01/2020,26,WEAPONS VIOLATION,3
134,01/01/2020,27,BATTERY,8
135,01/01/2020,27,CRIMINAL DAMAGE,2
136,01/01/2020,27,DECEPTIVE PRACTICE,1
137,01/01/2020,27,NARCOTICS,5
138,01/01/2020,27,OTHER OFFENSE,2
139,01/01/2020,27,THEFT,2
140,01/01/2020,27,WEAPONS VIOLATION,1
141,01/01/2020,28,ASSAULT,1
142,01/01/2020,28,BATTERY,2
143,01/01/2020,28,CRIMINAL DAMAGE,3
144,01/01/2020,28,CRIMINAL TRESPASS,2
145,01/01/2020,28,MOTOR VEHICLE THEFT,1
146,01/01/2020,28,OTHER OFFENSE,2
147,01/01/2020,28,THEFT,5
148,01/01/2020,28,WEAPONS VIOLATION,1
149,01/01/2020,29,ASSAULT,1
150,01/01/2020,29,BATTERY,10
151,01/01/2020,29,BURGLARY,1
152,01/01/2020,29,CRIMINAL DAMAGE,4
153,01/01/2020,29,CRIMINAL TRESPASS,1
154,01/01/2020,29,NARCOTICS,4
155,01/01/2020,29,OTHER OFFENSE,3
156,01/01/2020,29,ROBBERY,1
157,01/01/2020,29,THEFT,2
158,01/01/2020,29,WEAPONS VIOLATION,3
159,01/01/2020,30,BATTERY,4
160,01/01/2020,30,CRIM SEXUAL ASSAULT,2
161,01/01/2020,30,CRIMINAL DAMAGE,1
162,01/01/2020,30,CRIMINAL TRESPASS,1
163,01/01/2020,30,NARCOTICS,2
164,01/01/2020,30,OFFENSE INVOLVING CHILDREN,1
165,01/01/2020,30,OTHER OFFENSE,2
166,01/01/2020,30,WEAPONS VIOLATION,2
167,01/01/2020,31,BATTERY,3
168,01/01/2020,31,CRIMINAL DAMAGE,1
169,01/01/2020,31,LIQUOR LAW VIOLATION,1
170,01/01/2020,31,OTHER OFFENSE,1
171,01/01/2020,31,THEFT,3
172,01/01/2020,32,BATTERY,11
173,01/01/2020,32,CRIMINAL DAMAGE,1
174,01/01/2020,32,DECEPTIVE PRACTICE,3
175,01/01/2020,32,THEFT,8
176,01/01/2020,33,BATTERY,1
177,01/01/2020,33,BURGLARY,1
178,01/01/2020,33,CRIMINAL TRESPASS,1
179,01/01/2020,34,ASSAULT,1
180,01/01/2020,34,BATTERY,2
181,01/01/2020,35,BATTERY,2
182,01/01/2020,35,DECEPTIVE PRACTICE,2
183,01/01/2020,35,NARCOTICS,1
184,01/01/2020,35,OTHER OFFENSE,1
185,01/01/2020,35,THEFT,1
186,01/01/2020,36,BATTERY,1
187,01/01/2020,36,OTHER OFFENSE,2
188,01/01/2020,38,BATTERY,3
189,01/01/2020,38,CRIMINAL DAMAGE,1
190,01/01/2020,38,CRIMINAL TRESPASS,1
191,01/01/2020,38,DECEPTIVE PRACTICE,1
192,01/01/2020,38,KIDNAPPING,1
193,01/01/2020,38,OTHER OFFENSE,1
194,01/01/2020,39,CRIMINAL DAMAGE,1
195,01/01/2020,40,BATTERY,3
196,01/01/2020,41,BATTERY,1
197,01/01/2020,41,CRIMINAL TRESPASS,1
198,01/01/2020,41,DECEPTIVE PRACTICE,1
199,01/01/2020,41,OTHER OFFENSE,1
200,01/01/2020,41,WEAPONS VIOLATION,1
201,01/01/2020,42,ASSAULT,3
202,01/01/2020,42,BATTERY,2
203,01/01/2020,42,BURGLARY,1
204,01/01/2020,42,CRIMINAL DAMAGE,1
205,01/01/2020,42,DECEPTIVE PRACTICE,1
206,01/01/2020,42,OTHER OFFENSE,1
207,01/01/2020,42,ROBBERY,1
208,01/01/2020,42,THEFT,1
209,01/01/2020,42,WEAPONS VIOLATION,2
210,01/01/2020,43,ASSAULT,1
211,01/01/2020,43,BATTERY,4
212,01/01/2020,43,BURGLARY,2
213,01/01/2020,43,CRIM SEXUAL ASSAULT,2
214,01/01/2020,43,CRIMINAL DAMAGE,7
215,01/01/2020,43,MOTOR VEHICLE THEFT,2
216,01/01/2020,43,NARCOTICS,1
217,01/01/2020,43,OTHER OFFENSE,4
218,01/01/2020,43,ROBBERY,1
219,01/01/2020,43,THEFT,4
220,01/01/2020,43,WEAPONS VIOLATION,1
221,01/01/2020,44,ASSAULT,1
222,01/01/2020,44,BATTERY,6
223,01/01/2020,44,BURGLARY,2
224,01/01/2020,44,CRIMINAL DAMAGE,1
225,01/01/2020,44,OTHER OFFENSE,1
226,01/01/2020,44,PUBLIC PEACE VIOLATION,1
227,01/01/2020,44,ROBBERY,1
228,01/01/2020,44,THEFT,4
229,01/01/2020,44,WEAPONS VIOLATION,2
230,01/01/2020,45,BATTERY,1
231,01/01/2020,45,CRIMINAL DAMAGE,1
232,01/01/2020,45,THEFT,1
233,01/01/2020,46,BATTERY,2
234,01/01/2020,46,CRIMINAL DAMAGE,1
235,01/01/2020,46,CRIMINAL TRESPASS,1
236,01/01/2020,46,NARCOTICS,1
