,Date,Community Area,Primary Type,Number
216,19/01/2001,25,MOTOR VEHICLE THEFT,1
217,19/01/2001,40,OFFENSE INVOLVING CHILDREN,1
218,19/01/2001,71,THEFT,1
219,20/01/2001,15,PUBLIC PEACE VIOLATION,1
220,20/01/2001,23,HOMICIDE,1
221,20/01/2001,25,HOMICIDE,1
222,20/01/2001,47,OTHER OFFENSE,1
223,21/01/2001,23,HOMICIDE,1
224,21/01/2001,27,NARCOTICS,1
225,21/01/2001,43,HOMICIDE,1
226,21/01/2001,53,THEFT,1
227,22/01/2001,22,THEFT,1
228,22/01/2001,43,MOTOR VEHICLE THEFT,1
229,22/01/2001,43,THEFT,1
230,22/01/2001,49,HOMICIDE,1
231,23/01/2001,7,CRIM SEXUAL ASSAULT,1
232,23/01/2001,25,THEFT,1
233,23/01/2001,29,THEFT,1
234,24/01/2001,13,OTHER OFFENSE,1
235,24/01/2001,23,NARCOTICS,1
236,24/01/2001,54,MOTOR VEHICLE THEFT,1
237,25/01/2001,25,NARCOTICS,1
238,25/01/2001,61,BURGLARY,1
239,25/01/2001,70,MOTOR VEHICLE THEFT,1
240,26/01/2001,24,THEFT,1
241,26/01/2001,31,DECEPTIVE PRACTICE,1
242,26/01/2001,31,MOTOR VEHICLE THEFT,1
243,26/01/2001,54,OFFENSE INVOLVING CHILDREN,1
244,26/01/2001,61,ROBBERY,1
245,27/01/2001,22,MOTOR VEHICLE THEFT,1
246,27/01/2001,61,ROBBERY,1
247,27/01/2001,71,HOMICIDE,1
248,27/01/2001,74,DECEPTIVE PRACTICE,1
249,28/01/2001,19,THEFT,1
250,28/01/2001,23,MOTOR VEHICLE THEFT,1
251,28/01/2001,25,NARCOTICS,1
252,28/01/2001,26,HOMICIDE,1
253,28/01/2001,34,DECEPTIVE PRACTICE,1
254,28/01/2001,69,MOTOR VEHICLE THEFT,1
255,29/01/2001,1,THEFT,1
256,29/01/2001,46,DECEPTIVE PRACTICE,1
257,29/01/2001,66,THEFT,1
258,29/01/2001,68,HOMICIDE,1
259,30/01/2001,5,THEFT,1
260,30/01/2001,21,HOMICIDE,1
261,30/01/2001,32,THEFT,1
262,30/01/2001,43,THEFT,1
263,30/01/2001,66,THEFT,1
264,31/01/2001,15,THEFT,1
265,31/01/2001,17,DECEPTIVE PRACTICE,1
266,31/01/2001,21,HOMICIDE,1
267,31/01/2001,23,THEFT,1
268,31/01/2001,39,DECEPTIVE PRACTICE,1
269,31/01/2001,43,THEFT,1
270,31/01/2001,49,THEFT,1
271,31/01/2001,56,DECEPTIVE PRACTICE,1
272,01/02/2001,1,HOMICIDE,1
273,01/02/2001,2,THEFT,1
274,01/02/2001,7,THEFT,1
275,01/02/2001,8,DECEPTIVE PRACTICE,1
276,01/02/2001,8,THEFT,1
277,01/02/2001,18,THEFT,1
278,01/02/2001,21,THEFT,1
279,01/02/2001,22,THEFT,3
280,01/02/2001,23,THEFT,1
281,01/02/2001,32,OTHER OFFENSE,1
282,01/02/2001,32,THEFT,1
283,01/02/2001,39,THEFT,2
284,01/02/2001,40,THEFT,1
285,01/02/2001,43,THEFT,1
286,01/02/2001,44,THEFT,1
287,01/02/2001,50,OTHER OFFENSE,1
288,01/02/2001,56,THEFT,1
289,01/02/2001,67,THEFT,2
290,01/02/2001,68,THEFT,2
291,01/02/2001,70,THEFT,1
292,01/02/2001,75,THEFT,1
293,01/02/2001,77,THEFT,3
294,02/02/2001,3,MOTOR VEHICLE THEFT,1
295,02/02/2001,11,THEFT,1
296,02/02/2001,12,DECEPTIVE PRACTICE,1
297,02/02/2001,21,THEFT,1
298,02/02/2001,24,MOTOR VEHICLE THEFT,1
299,02/02/2001,25,NARCOTICS,2
300,02/02/2001,28,DECEPTIVE PRACTICE,1
301,02/02/2001,32,DECEPTIVE PRACTICE,1
302,02/02/2001,38,OTHER OFFENSE,1
303,02/02/2001,67,THEFT,1
304,02/02/2001,71,HOMICIDE,1
305,02/02/2001,71,MOTOR VEHICLE THEFT,1
306,03/02/2001,3,DECEPTIVE PRACTICE,1
307,03/02/2001,23,NARCOTICS,1
308,03/02/2001,25,NARCOTICS,1
309,03/02/2001,27,MOTOR VEHICLE THEFT,1
310,05/02/2001,2,HOMICIDE,1
311,05/02/2001,14,MOTOR VEHICLE THEFT,1
312,05/02/2001,19,SEX OFFENSE,1
313,05/02/2001,25,BATTERY,1
314,05/02/2001,32,BATTERY,1
315,05/02/2001,56,DECEPTIVE PRACTICE,1
316,05/02/2001,75,DECEPTIVE PRACTICE,1
317,06/02/2001,25,NARCOTICS,1
318,07/02/2001,5,THEFT,1
319,07/02/2001,23,NARCOTICS,2
320,07/02/2001,25,NARCOTICS,1
321,08/02/2001,2,OFFENSE INVOLVING CHILDREN,1
322,08/02/2001,6,THEFT,1
323,08/02/2001,28,DECEPTIVE PRACTICE,1
324,08/02/2001,31,MOTOR VEHICLE THEFT,1
325,09/02/2001,24,HOMICIDE,1
326,09/02/2001,25,NARCOTICS,1
327,09/02/2001,26,BATTERY,1
328,09/02/2001,26,WEAPONS VIOLATION,1
329,09/02/2001,38,HOMICIDE,1
330,09/02/2001,56,HOMICIDE,2
331,09/02/2001,61,SEX OFFENSE,1
332,11/02/2001,25,HOMICIDE,1
333,11/02/2001,30,HOMICIDE,1
334,11/02/2001,49,THEFT,1
335,11/02/2001,68,CRIM SEXUAL ASSAULT,1
336,12/02/2001,35,MOTOR VEHICLE THEFT,1
337,12/02/2001,49,HOMICIDE,1
338,12/02/2001,64,MOTOR VEHICLE THEFT,1
339,12/02/2001,66,MOTOR VEHICLE THEFT,1
340,13/02/2001,6,THEFT,1
341,13/02/2001,7,THEFT,1
342,13/02/2001,14,OTHER OFFENSE,1
343,13/02/2001,56,MOTOR VEHICLE THEFT,1
344,13/02/2001,70,THEFT,1
345,14/02/2001,8,BURGLARY,1
346,14/02/2001,23,CRIMINAL DAMAGE,1
347,14/02/2001,23,HOMICIDE,1
348,14/02/2001,25,HOMICIDE,1
349,14/02/2001,25,NARCOTICS,1
350,14/02/2001,26,NARCOTICS,2
351,14/02/2001,27,NARCOTICS,2
352,14/02/2001,53,THEFT,1
353,14/02/2001,66,SEX OFFENSE,1
354,14/02/2001,71,MOTOR VEHICLE THEFT,1
355,15/02/2001,4,CRIMINAL DAMAGE,1
356,15/02/2001,17,MOTOR VEHICLE THEFT,1
357,15/02/2001,21,CRIM SEXUAL ASSAULT,1
358,15/02/2001,24,MOTOR VEHICLE THEFT,1
359,15/02/2001,25,NARCOTICS,1
360,15/02/2001,30,HOMICIDE,1
361,15/02/2001,43,MOTOR VEHICLE THEFT,1
362,15/02/2001,54,HOMICIDE,1
363,15/02/2001,77,THEFT,1
364,16/02/2001,3,THEFT,1
365,16/02/2001,23,BATTERY,1
366,16/02/2001,23,DECEPTIVE PRACTICE,1
367,16/02/2001,23,HOMICIDE,1
368,16/02/2001,37,MOTOR VEHICLE THEFT,1
369,16/02/2001,43,SEX OFFENSE,1
370,17/02/2001,8,MOTOR VEHICLE THEFT,1
371,17/02/2001,23,OFFENSE INVOLVING CHILDREN,1
372,18/02/2001,19,BURGLARY,1
373,18/02/2001,22,OFFENSE INVOLVING CHILDREN,1
374,18/02/2001,25,HOMICIDE,1
375,18/02/2001,68,BATTERY,1
376,19/02/2001,6,THEFT,1
377,19/02/2001,27,THEFT,1
378,20/02/2001,45,THEFT,1
379,20/02/2001,73,THEFT,1
380,20/02/2001,76,MOTOR VEHICLE THEFT,1
381,21/02/2001,25,OTHER OFFENSE,1
382,21/02/2001,31,NARCOTICS,1
383,21/02/2001,51,OFFENSE INVOLVING CHILDREN,1
384,21/02/2001,70,MOTOR VEHICLE THEFT,1
385,22/02/2001,26,CRIMINAL DAMAGE,1
386,22/02/2001,29,MOTOR VEHICLE THEFT,1
387,22/02/2001,48,MOTOR VEHICLE THEFT,1
388,22/02/2001,68,THEFT,1
389,23/02/2001,3,NARCOTICS,1
390,23/02/2001,22,HOMICIDE,1
391,23/02/2001,25,NARCOTICS,1
392,23/02/2001,42,MOTOR VEHICLE THEFT,1
393,23/02/2001,77,BATTERY,1
394,24/02/2001,1,OFFENSE INVOLVING CHILDREN,2
395,24/02/2001,21,HOMICIDE,1
396,24/02/2001,23,THEFT,1
397,24/02/2001,25,NARCOTICS,1
398,24/02/2001,60,CRIMINAL DAMAGE,1
399,24/02/2001,63,MOTOR VEHICLE THEFT,1
400,24/02/2001,76,MOTOR VEHICLE THEFT,1
401,25/02/2001,22,BATTERY,1
402,25/02/2001,25,HOMICIDE,1
403,25/02/2001,26,NARCOTICS,1
404,25/02/2001,43,MOTOR VEHICLE THEFT,1
405,25/02/2001,61,BURGLARY,1
406,25/02/2001,64,MOTOR VEHICLE THEFT,1
407,26/02/2001,3,NARCOTICS,1
408,26/02/2001,29,BATTERY,1
409,26/02/2001,38,OTHER OFFENSE,1
410,26/02/2001,53,THEFT,1
411,27/02/2001,6,THEFT,1
412,27/02/2001,27,NARCOTICS,1
413,27/02/2001,30,DECEPTIVE PRACTICE,1
414,27/02/2001,31,HOMICIDE,1
415,27/02/2001,39,THEFT,1
416,27/02/2001,69,MOTOR VEHICLE THEFT,1
417,28/02/2001,3,OTHER OFFENSE,1
418,28/02/2001,14,MOTOR VEHICLE THEFT,1
419,28/02/2001,22,THEFT,1
420,28/02/2001,24,THEFT,1
421,28/02/2001,26,DECEPTIVE PRACTICE,1
422,28/02/2001,76,THEFT,1
423,01/03/2001,1,CRIM SEXUAL ASSAULT,1
424,01/03/2001,1,OFFENSE INVOLVING CHILDREN,1
425,01/03/2001,6,HOMICIDE,1
426,01/03/2001,7,THEFT,1
427,01/03/2001,9,SEX OFFENSE,1
428,01/03/2001,10,THEFT,1
429,01/03/2001,14,THEFT,1
430,01/03/2001,15,THEFT,1
431,01/03/2001,19,OFFENSE INVOLVING CHILDREN,1
432,01/03/2001,19,THEFT,2
433,01/03/2001,23,OTHER OFFENSE,1
434,01/03/2001,23,THEFT,1
435,01/03/2001,28,BATTERY,1
436,01/03/2001,28,THEFT,2
437,01/03/2001,29,THEFT,1
438,01/03/2001,30,THEFT,1
439,01/03/2001,38,OTHER OFFENSE,1
440,01/03/2001,38,THEFT,1
441,01/03/2001,40,MOTOR VEHICLE THEFT,1
442,01/03/2001,42,THEFT,1
443,01/03/2001,43,OFFENSE INVOLVING CHILDREN,1
444,01/03/2001,44,DECEPTIVE PRACTICE,1
445,01/03/2001,44,THEFT,1
446,01/03/2001,48,THEFT,1
447,01/03/2001,49,CRIM SEXUAL ASSAULT,1
448,01/03/2001,51,OFFENSE INVOLVING CHILDREN,1
449,01/03/2001,51,THEFT,1
450,01/03/2001,57,CRIM SEXUAL ASSAULT,1
451,01/03/2001,58,THEFT,1
452,01/03/2001,59,THEFT,2
453,01/03/2001,60,THEFT,2
454,01/03/2001,61,HOMICIDE,1
455,01/03/2001,61,OFFENSE INVOLVING CHILDREN,1
456,01/03/2001,62,THEFT,1
457,01/03/2001,66,THEFT,1
458,01/03/2001,68,CRIMINAL DAMAGE,1
459,01/03/2001,68,MOTOR VEHICLE THEFT,1
460,01/03/2001,68,OFFENSE INVOLVING CHILDREN,2
461,01/03/2001,68,THEFT,1
462,01/03/2001,69,SEX OFFENSE,1
463,01/03/2001,69,THEFT,1
464,01/03/2001,71,THEFT,1
465,01/03/2001,73,THEFT,1
466,01/03/2001,74,CRIM SEXUAL ASSAULT,1
467,01/03/2001,75,OTHER OFFENSE,1
468,01/03/2001,75,THEFT,1
469,02/03/2001,41,THEFT,1
470,02/03/2001,54,MOTOR VEHICLE THEFT,1
471,02/03/2001,68,THEFT,1
472,03/03/2001,2,MOTOR VEHICLE THEFT,1
473,03/03/2001,22,HOMICIDE,1
474,03/03/2001,27,THEFT,1
475,03/03/2001,28,ROBBERY,1
476,03/03/2001,42,HOMICIDE,1
477,03/03/2001,53,HOMICIDE,1
478,03/03/2001,71,MOTOR VEHICLE THEFT,1
479,04/03/2001,15,HOMICIDE,1
480,04/03/2001,26,CRIMINAL DAMAGE,1
481,04/03/2001,26,NARCOTICS,1
482,04/03/2001,49,HOMICIDE,1
483,05/03/2001,14,SEX OFFENSE,1
484,05/03/2001,35,HOMICIDE,1
485,06/03/2001,23,SEX OFFENSE,1
486,06/03/2001,52,MOTOR VEHICLE THEFT,1
487,06/03/2001,56,MOTOR VEHICLE THEFT,1
488,06/03/2001,62,MOTOR VEHICLE THEFT,1
489,07/03/2001,25,ASSAULT,1
490,07/03/2001,43,DECEPTIVE PRACTICE,1
491,07/03/2001,71,HOMICIDE,1
492,07/03/2001,71,MOTOR VEHICLE THEFT,1
493,08/03/2001,3,THEFT,1
494,08/03/2001,14,OFFENSE INVOLVING CHILDREN,1
495,08/03/2001,16,SEX OFFENSE,1
496,08/03/2001,29,ROBBERY,1
497,09/03/2001,23,THEFT,1
498,09/03/2001,25,OTHER OFFENSE,1
499,09/03/2001,58,HOMICIDE,1
500,10/03/2001,3,HOMICIDE,2
501,10/03/2001,22,HOMICIDE,1
502,10/03/2001,23,NARCOTICS,1
503,10/03/2001,25,HOMICIDE,1
504,10/03/2001,26,BATTERY,1
505,10/03/2001,46,THEFT,1
506,11/03/2001,25,HOMICIDE,1
507,12/03/2001,7,MOTOR VEHICLE THEFT,1
508,12/03/2001,25,NARCOTICS,1
509,12/03/2001,28,HOMICIDE,1
510,12/03/2001,38,CRIM SEXUAL ASSAULT,1
511,12/03/2001,38,DECEPTIVE PRACTICE,1
512,12/03/2001,71,THEFT,1
513,13/03/2001,19,CRIM SEXUAL ASSAULT,1
514,13/03/2001,46,SEX OFFENSE,1
515,14/03/2001,22,THEFT,1
516,14/03/2001,23,NARCOTICS,1
517,14/03/2001,25,ASSAULT,1
518,15/03/2001,2,OTHER OFFENSE,1
519,15/03/2001,7,THEFT,1
520,15/03/2001,15,OTHER OFFENSE,1
521,15/03/2001,25,CRIM SEXUAL ASSAULT,1
522,15/03/2001,38,ROBBERY,1
523,15/03/2001,48,THEFT,1
524,15/03/2001,67,DECEPTIVE PRACTICE,1
525,16/03/2001,70,SEX OFFENSE,1
526,16/03/2001,74,DECEPTIVE PRACTICE,1
527,17/03/2001,2,THEFT,1
528,17/03/2001,5,MOTOR VEHICLE THEFT,1
529,17/03/2001,8,MOTOR VEHICLE THEFT,1
530,17/03/2001,38,HOMICIDE,1
531,17/03/2001,39,OTHER OFFENSE,1
532,18/03/2001,16,MOTOR VEHICLE THEFT,1
533,18/03/2001,26,MOTOR VEHICLE THEFT,1
534,18/03/2001,58,MOTOR VEHICLE THEFT,1
535,19/03/2001,3,CRIM SEXUAL ASSAULT,1
536,19/03/2001,23,THEFT,1
537,19/03/2001,26,NARCOTICS,1
538,19/03/2001,29,THEFT,1
539,19/03/2001,30,HOMICIDE,1
540,19/03/2001,71,MOTOR VEHICLE THEFT,1
541,19/03/2001,76,MOTOR VEHICLE THEFT,1
542,20/03/2001,1,MOTOR VEHICLE THEFT,1
543,20/03/2001,25,NARCOTICS,2
544,21/03/2001,4,BURGLARY,1
545,21/03/2001,25,MOTOR VEHICLE THEFT,1
546,21/03/2001,26,HOMICIDE,1
547,21/03/2001,26,THEFT,1
548,21/03/2001,27,NARCOTICS,1
549,21/03/2001,30,HOMICIDE,1
550,21/03/2001,49,MOTOR VEHICLE THEFT,1
551,22/03/2001,13,DECEPTIVE PRACTICE,1
552,22/03/2001,16,OTHER OFFENSE,1
553,22/03/2001,22,OFFENSE INVOLVING CHILDREN,1
554,22/03/2001,24,BATTERY,1
555,22/03/2001,25,NARCOTICS,1
556,22/03/2001,32,MOTOR VEHICLE THEFT,1
557,22/03/2001,53,THEFT,1
558,22/03/2001,68,THEFT,1
559,23/03/2001,1,THEFT,1
560,23/03/2001,3,NARCOTICS,1
561,23/03/2001,23,BATTERY,1
562,23/03/2001,23,MOTOR VEHICLE THEFT,1
563,23/03/2001,30,HOMICIDE,1
564,24/03/2001,5,HOMICIDE,1
565,24/03/2001,27,CRIM SEXUAL ASSAULT,1
566,24/03/2001,29,HOMICIDE,1
567,24/03/2001,30,MOTOR VEHICLE THEFT,1
568,24/03/2001,45,HOMICIDE,1
569,24/03/2001,65,HOMICIDE,1
570,25/03/2001,24,HOMICIDE,1
571,25/03/2001,25,HOMICIDE,1
572,25/03/2001,25,NARCOTICS,1
573,26/03/2001,22,HOMICIDE,1
574,26/03/2001,28,BATTERY,1
575,26/03/2001,32,THEFT,1
576,26/03/2001,44,MOTOR VEHICLE THEFT,1
577,26/03/2001,69,HOMICIDE,1
578,26/03/2001,69,THEFT,1
579,27/03/2001,25,MOTOR VEHICLE THEFT,1
580,28/03/2001,23,OTHER OFFENSE,1
581,28/03/2001,24,THEFT,1
582,28/03/2001,26,BATTERY,1
583,28/03/2001,27,HOMICIDE,1
584,28/03/2001,29,HOMICIDE,1
585,29/03/2001,23,NARCOTICS,3
586,29/03/2001,32,DECEPTIVE PRACTICE,1
587,29/03/2001,39,THEFT,1
588,29/03/2001,61,THEFT,1
589,29/03/2001,66,MOTOR VEHICLE THEFT,1
590,29/03/2001,67,THEFT,1
591,29/03/2001,68,CRIM SEXUAL ASSAULT,1
592,30/03/2001,25,NARCOTICS,1
593,30/03/2001,27,CRIMINAL DAMAGE,1
594,30/03/2001,28,MOTOR VEHICLE THEFT,1
595,30/03/2001,45,MOTOR VEHICLE THEFT,1
596,31/03/2001,3,MOTOR VEHICLE THEFT,1
597,31/03/2001,6,THEFT,1
