,Date,Community Area,Primary Type,Number
0,01/01/2001,1,DECEPTIVE PRACTICE,3
1,01/01/2001,1,OFFENSE INVOLVING CHILDREN,2
2,01/01/2001,1,THEFT,2
3,01/01/2001,3,OFFENSE INVOLVING CHILDREN,1
4,01/01/2001,3,SEX OFFENSE,1
5,01/01/2001,3,THEFT,3
6,01/01/2001,4,OFFENSE INVOLVING CHILDREN,1
7,01/01/2001,6,THEFT,2
8,01/01/2001,7,OFFENSE INVOLVING CHILDREN,1
9,01/01/2001,7,THEFT,2
10,01/01/2001,8,DECEPTIVE PRACTICE,2
11,01/01/2001,8,OTHER OFFENSE,1
12,01/01/2001,8,SEX OFFENSE,1
13,01/01/2001,8,THEFT,4
14,01/01/2001,10,CRIM SEXUAL ASSAULT,1
15,01/01/2001,11,THEFT,1
16,01/01/2001,12,THEFT,1
17,01/01/2001,13,DECEPTIVE PRACTICE,1
18,01/01/2001,13,SEX OFFENSE,1
19,01/01/2001,14,THEFT,2
20,01/01/2001,15,SEX OFFENSE,1
21,01/01/2001,15,THEFT,4
22,01/01/2001,16,CRIM SEXUAL ASSAULT,1
23,01/01/2001,16,DECEPTIVE PRACTICE,1
24,01/01/2001,16,SEX OFFENSE,1
25,01/01/2001,16,THEFT,3
26,01/01/2001,19,CRIM SEXUAL ASSAULT,2
27,01/01/2001,19,DECEPTIVE PRACTICE,1
28,01/01/2001,19,OFFENSE INVOLVING CHILDREN,3
29,01/01/2001,19,SEX OFFENSE,1
30,01/01/2001,19,THEFT,8
31,01/01/2001,20,CRIM SEXUAL ASSAULT,1
32,01/01/2001,20,OFFENSE INVOLVING CHILDREN,1
33,01/01/2001,20,THEFT,1
34,01/01/2001,21,OFFENSE INVOLVING CHILDREN,2
35,01/01/2001,22,HOMICIDE,1
36,01/01/2001,22,THEFT,3
37,01/01/2001,23,CRIM SEXUAL ASSAULT,2
38,01/01/2001,23,OFFENSE INVOLVING CHILDREN,5
39,01/01/2001,23,SEX OFFENSE,1
40,01/01/2001,23,THEFT,10
41,01/01/2001,24,CRIM SEXUAL ASSAULT,1
42,01/01/2001,24,OFFENSE INVOLVING CHILDREN,1
43,01/01/2001,24,THEFT,3
44,01/01/2001,25,CRIM SEXUAL ASSAULT,1
45,01/01/2001,25,DECEPTIVE PRACTICE,1
46,01/01/2001,25,OFFENSE INVOLVING CHILDREN,5
47,01/01/2001,25,THEFT,8
48,01/01/2001,26,CRIM SEXUAL ASSAULT,1
49,01/01/2001,26,THEFT,2
50,01/01/2001,27,OFFENSE INVOLVING CHILDREN,3
51,01/01/2001,27,SEX OFFENSE,1
52,01/01/2001,27,THEFT,2
53,01/01/2001,28,DECEPTIVE PRACTICE,1
54,01/01/2001,28,HOMICIDE,1
55,01/01/2001,28,OTHER OFFENSE,2
56,01/01/2001,28,THEFT,2
57,01/01/2001,29,DECEPTIVE PRACTICE,1
58,01/01/2001,29,OFFENSE INVOLVING CHILDREN,3
59,01/01/2001,29,SEX OFFENSE,1
60,01/01/2001,29,THEFT,4
61,01/01/2001,30,OFFENSE INVOLVING CHILDREN,2
62,01/01/2001,30,THEFT,3
63,01/01/2001,31,THEFT,1
64,01/01/2001,32,DECEPTIVE PRACTICE,1
65,01/01/2001,32,THEFT,4
66,01/01/2001,33,THEFT,2
67,01/01/2001,35,CRIM SEXUAL ASSAULT,1
68,01/01/2001,38,OFFENSE INVOLVING CHILDREN,2
69,01/01/2001,38,THEFT,1
70,01/01/2001,39,OFFENSE INVOLVING CHILDREN,1
71,01/01/2001,39,THEFT,1
72,01/01/2001,40,CRIM SEXUAL ASSAULT,1
73,01/01/2001,40,MOTOR VEHICLE THEFT,1
74,01/01/2001,40,OFFENSE INVOLVING CHILDREN,1
75,01/01/2001,40,THEFT,1
76,01/01/2001,41,THEFT,2
77,01/01/2001,42,CRIM SEXUAL ASSAULT,2
78,01/01/2001,42,THEFT,1
79,01/01/2001,43,CRIM SEXUAL ASSAULT,1
80,01/01/2001,43,DECEPTIVE PRACTICE,1
81,01/01/2001,43,OFFENSE INVOLVING CHILDREN,1
82,01/01/2001,43,OTHER OFFENSE,1
83,01/01/2001,43,THEFT,3
84,01/01/2001,44,DECEPTIVE PRACTICE,1
85,01/01/2001,44,OFFENSE INVOLVING CHILDREN,2
86,01/01/2001,44,THEFT,1
87,01/01/2001,46,CRIM SEXUAL ASSAULT,3
88,01/01/2001,46,SEX OFFENSE,2
89,01/01/2001,46,THEFT,3
90,01/01/2001,48,THEFT,1
91,01/01/2001,49,CRIM SEXUAL ASSAULT,1
92,01/01/2001,49,OFFENSE INVOLVING CHILDREN,4
93,01/01/2001,49,THEFT,6
94,01/01/2001,50,CRIM SEXUAL ASSAULT,1
95,01/01/2001,50,OFFENSE INVOLVING CHILDREN,1
96,01/01/2001,50,OTHER OFFENSE,1
97,01/01/2001,50,THEFT,1
98,01/01/2001,52,THEFT,1
99,01/01/2001,53,THEFT,3
100,01/01/2001,54,THEFT,1
101,01/01/2001,56,MOTOR VEHICLE THEFT,1
102,01/01/2001,56,SEX OFFENSE,1
103,01/01/2001,58,DECEPTIVE PRACTICE,1
104,01/01/2001,58,OFFENSE INVOLVING CHILDREN,2
105,01/01/2001,58,SEX OFFENSE,1
106,01/01/2001,58,THEFT,2
107,01/01/2001,59,THEFT,2
108,01/01/2001,61,CRIM SEXUAL ASSAULT,1
109,01/01/2001,61,DECEPTIVE PRACTICE,1
110,01/01/2001,61,OFFENSE INVOLVING CHILDREN,4
111,01/01/2001,61,SEX OFFENSE,2
112,01/01/2001,61,THEFT,2
113,01/01/2001,62,OFFENSE INVOLVING CHILDREN,1
114,01/01/2001,63,THEFT,1
115,01/01/2001,64,OFFENSE INVOLVING CHILDREN,1
116,01/01/2001,66,MOTOR VEHICLE THEFT,1
117,01/01/2001,66,OFFENSE INVOLVING CHILDREN,2
118,01/01/2001,66,SEX OFFENSE,1
119,01/01/2001,66,THEFT,4
120,01/01/2001,67,CRIM SEXUAL ASSAULT,2
121,01/01/2001,67,OFFENSE INVOLVING CHILDREN,2
122,01/01/2001,67,THEFT,6
123,01/01/2001,68,OFFENSE INVOLVING CHILDREN,1
124,01/01/2001,68,SEX OFFENSE,1
125,01/01/2001,68,THEFT,4
126,01/01/2001,69,OFFENSE INVOLVING CHILDREN,1
127,01/01/2001,69,THEFT,4
128,01/01/2001,70,CRIM SEXUAL ASSAULT,1
129,01/01/2001,70,OFFENSE INVOLVING CHILDREN,2
130,01/01/2001,70,THEFT,1
131,01/01/2001,71,CRIM SEXUAL ASSAULT,1
132,01/01/2001,71,OFFENSE INVOLVING CHILDREN,4
133,01/01/2001,71,THEFT,5
134,01/01/2001,72,DECEPTIVE PRACTICE,1
135,01/01/2001,72,OFFENSE INVOLVING CHILDREN,1
136,01/01/2001,73,THEFT,1
137,01/01/2001,75,OFFENSE INVOLVING CHILDREN,1
138,01/01/2001,76,THEFT,2
139,01/01/2001,77,CRIM SEXUAL ASSAULT,1
140,01/01/2001,77,OFFENSE INVOLVING CHILDREN,2
141,01/01/2001,77,THEFT,1
142,02/01/2001,24,THEFT,1
143,02/01/2001,28,THEFT,1
144,02/01/2001,29,THEFT,1
145,02/01/2001,43,THEFT,1
146,02/01/2001,44,THEFT,1
147,02/01/2001,50,THEFT,1
148,02/01/2001,64,DECEPTIVE PRACTICE,1
149,02/01/2001,67,MOTOR VEHICLE THEFT,1
150,02/01/2001,73,THEFT,1
151,02/01/2001,77,OTHER OFFENSE,1
152,03/01/2001,19,THEFT,1
153,03/01/2001,20,DECEPTIVE PRACTICE,1
154,03/01/2001,22,SEX OFFENSE,1
155,03/01/2001,25,MOTOR VEHICLE THEFT,1
156,05/01/2001,13,MOTOR VEHICLE THEFT,1
157,05/01/2001,22,THEFT,1
158,05/01/2001,26,OTHER OFFENSE,1
159,05/01/2001,33,DECEPTIVE PRACTICE,1
160,05/01/2001,59,BURGLARY,1
161,05/01/2001,76,MOTOR VEHICLE THEFT,1
162,06/01/2001,19,HOMICIDE,1
163,06/01/2001,19,MOTOR VEHICLE THEFT,1
164,06/01/2001,31,HOMICIDE,1
165,06/01/2001,53,HOMICIDE,1
166,06/01/2001,56,DECEPTIVE PRACTICE,1
167,06/01/2001,66,THEFT,1
168,07/01/2001,27,NARCOTICS,1
169,08/01/2001,43,THEFT,1
170,08/01/2001,61,CRIM SEXUAL ASSAULT,1
171,08/01/2001,67,OFFENSE INVOLVING CHILDREN,1
172,09/01/2001,46,HOMICIDE,1
173,10/01/2001,4,OFFENSE INVOLVING CHILDREN,1
174,10/01/2001,4,THEFT,1
175,10/01/2001,7,THEFT,1
176,10/01/2001,14,HOMICIDE,1
177,10/01/2001,16,THEFT,1
178,10/01/2001,29,THEFT,1
179,10/01/2001,30,OFFENSE INVOLVING CHILDREN,1
180,10/01/2001,32,THEFT,1
181,10/01/2001,43,HOMICIDE,1
182,10/01/2001,58,THEFT,1
183,10/01/2001,60,DECEPTIVE PRACTICE,1
184,10/01/2001,63,THEFT,1
185,10/01/2001,67,THEFT,1
186,10/01/2001,69,THEFT,1
187,11/01/2001,1,THEFT,1
188,11/01/2001,21,ASSAULT,1
189,11/01/2001,25,HOMICIDE,1
190,11/01/2001,43,HOMICIDE,1
191,12/01/2001,8,DECEPTIVE PRACTICE,1
192,12/01/2001,25,NARCOTICS,2
193,12/01/2001,28,WEAPONS VIOLATION,1
194,12/01/2001,44,HOMICIDE,1
195,12/01/2001,65,MOTOR VEHICLE THEFT,1
196,13/01/2001,6,HOMICIDE,1
197,13/01/2001,22,THEFT,1
198,13/01/2001,23,THEFT,1
199,14/01/2001,25,HOMICIDE,1
200,14/01/2001,26,MOTOR VEHICLE THEFT,1
201,14/01/2001,61,DECEPTIVE PRACTICE,1
202,14/01/2001,73,HOMICIDE,1
203,15/01/2001,19,OFFENSE INVOLVING CHILDREN,1
204,15/01/2001,25,THEFT,1
205,15/01/2001,71,THEFT,1
206,15/01/2001,75,OTHER OFFENSE,1
207,16/01/2001,25,HOMICIDE,1
208,16/01/2001,28,THEFT,1
209,16/01/2001,61,HOMICIDE,1
210,16/01/2001,69,THEFT,1
211,17/01/2001,71,MOTOR VEHICLE THEFT,1
212,18/01/2001,1,SEX OFFENSE,1
213,18/01/2001,25,DECEPTIVE PRACTICE,1
214,18/01/2001,25,HOMICIDE,1
215,19/01/2001,16,HOMICIDE,1
