date,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1,0,70,296,66,0,39,233,29,92,0,2,2,0,1,1,2,3,60,97,0,0,0,0,97,0,167,5,0,5,0,41,65,1,413,32
2,0,66,143,68,0,2,118,35,78,0,1,0,0,1,1,1,2,65,175,0,0,0,0,4,0,101,11,0,2,0,35,4,0,221,9
3,1,79,165,57,0,7,136,35,49,0,0,0,0,0,0,3,2,72,133,0,0,0,0,3,0,96,16,0,7,0,51,5,1,226,7
4,1,57,173,55,0,2,133,29,42,0,2,2,0,3,1,2,4,87,142,0,0,0,0,5,0,96,19,0,3,0,55,1,0,243,9
5,3,68,178,55,0,6,142,29,53,0,0,1,0,2,0,3,8,86,185,0,0,0,0,9,0,90,16,0,5,0,55,2,0,265,6
6,4,67,236,64,0,4,156,36,33,0,1,4,0,1,0,4,3,76,166,0,0,0,0,3,0,80,21,0,3,0,54,9,0,246,19
7,0,61,218,51,0,7,129,42,17,0,3,1,0,2,0,3,0,58,155,0,0,0,0,6,0,79,15,0,2,1,36,5,0,205,8
8,3,67,192,53,0,3,104,36,54,0,1,0,0,1,0,1,5,62,161,0,0,0,0,9,0,90,12,0,3,0,44,6,1,244,5
9,3,63,212,75,0,3,120,52,50,0,0,2,0,0,0,2,2,65,115,0,0,0,0,3,0,76,15,0,9,0,38,5,4,261,9
10,2,88,199,71,0,1,113,40,57,0,2,2,0,1,3,3,1,62,145,0,0,0,0,6,0,101,27,0,7,0,41,5,0,255,5
11,2,89,222,62,0,4,111,37,39,1,0,5,0,2,1,1,5,59,160,0,0,0,1,4,0,87,25,0,1,0,34,5,0,257,14
12,4,78,239,69,0,5,150,35,49,0,3,1,0,0,0,2,7,53,152,0,0,0,1,1,0,103,31,0,10,0,45,8,1,290,16
13,5,79,251,53,0,9,154,41,24,0,1,1,0,2,2,2,4,61,175,0,0,0,0,4,0,89,18,0,4,0,45,9,0,268,9
14,1,72,249,44,0,5,134,34,26,0,1,2,0,2,0,2,5,59,128,0,0,0,0,3,0,73,10,0,2,1,45,4,0,208,8
15,1,62,203,71,0,3,130,42,53,0,1,1,0,3,1,0,6,62,167,0,0,0,0,6,0,104,13,0,7,0,48,4,0,313,11
16,0,58,219,65,0,8,124,50,37,0,4,3,0,1,1,3,1,58,149,0,0,0,0,3,0,87,23,0,7,0,56,10,0,270,14
17,3,72,205,76,0,4,126,37,56,0,1,0,0,1,1,2,2,66,156,0,0,0,0,5,0,93,23,0,5,0,48,6,1,281,18
18,2,69,232,69,0,9,115,41,40,0,1,1,0,0,0,7,3,77,161,0,0,0,0,4,0,89,24,0,5,0,55,2,3,255,14
19,2,47,200,65,0,1,141,36,46,0,4,1,0,0,0,5,2,78,145,0,0,0,0,3,0,69,26,0,4,0,51,3,1,279,5
20,6,53,239,53,0,3,143,33,40,0,0,2,0,1,1,0,2,77,153,0,0,0,0,9,0,104,17,0,7,0,51,4,1,243,14
21,0,51,222,38,0,2,121,38,16,0,2,3,0,1,0,4,3,55,169,0,0,0,0,8,1,84,7,0,4,0,42,5,2,221,6
22,1,64,181,65,0,1,99,41,53,0,2,1,0,1,2,2,2,66,156,0,0,0,0,8,0,107,9,0,3,0,43,5,1,259,8
23,3,60,208,66,0,4,117,45,50,0,1,0,0,0,0,3,5,69,183,0,0,0,0,7,0,84,26,0,7,0,40,5,1,253,13
24,1,67,181,53,0,3,87,50,49,0,2,0,0,1,1,3,1,70,142,0,0,0,0,2,0,67,20,0,4,0,38,5,3,243,8
25,0,73,184,72,0,4,115,55,44,0,0,1,0,0,1,1,6,75,166,0,0,0,0,3,0,74,24,0,5,0,32,3,1,237,7
26,2,77,206,77,0,5,151,41,51,0,1,0,0,3,1,3,5,73,168,0,0,0,0,4,0,88,18,0,6,0,54,10,2,236,14
27,2,67,233,52,0,4,128,32,34,0,0,1,0,1,0,4,4,73,173,0,0,0,0,5,0,76,13,0,7,0,50,3,0,241,11
28,4,61,217,60,0,2,116,27,27,0,3,1,0,3,0,2,0,74,99,0,0,0,0,6,0,89,34,0,5,0,50,8,0,179,9
29,3,79,214,77,0,3,87,33,40,0,2,1,0,0,0,3,3,71,131,0,0,0,0,4,0,89,14,0,6,0,44,3,1,254,10
30,4,65,210,62,0,6,124,40,50,0,3,2,0,0,0,0,2,63,160,0,0,0,0,2,0,80,17,0,10,0,41,1,1,254,14
31,4,94,198,70,0,4,109,40,44,0,0,1,0,2,0,2,3,63,147,0,0,0,0,7,0,88,14,0,6,0,34,8,0,246,5
32,5,79,205,70,0,11,115,33,66,0,2,1,0,1,0,6,1,54,144,0,0,0,0,17,0,133,15,0,4,0,43,7,0,314,6
33,0,68,206,65,0,1,131,42,55,0,1,1,0,4,0,1,5,76,154,0,0,0,0,3,0,95,12,0,2,0,50,9,0,241,14
34,5,63,199,59,0,1,122,27,34,0,1,1,0,1,2,0,3,75,186,0,0,0,0,4,0,92,22,0,7,0,45,3,0,224,8
35,1,73,257,57,0,5,120,44,16,0,1,0,0,1,1,1,1,70,156,0,0,0,1,6,0,67,8,0,7,0,47,3,0,194,12
36,1,92,219,78,0,4,147,37,46,0,2,1,0,0,0,1,4,65,166,0,0,0,0,7,0,108,9,0,5,0,42,5,2,261,11
37,1,89,218,47,0,4,97,50,39,0,1,0,0,0,0,1,1,58,172,0,0,0,0,5,0,98,19,0,7,0,38,8,2,223,17
38,1,85,182,62,0,7,110,41,56,0,0,0,0,3,1,1,8,54,185,0,0,0,0,4,0,85,27,1,11,0,33,7,0,265,16
39,3,86,239,58,0,5,125,43,46,0,2,0,0,2,2,0,4,67,135,0,0,0,0,9,0,73,16,0,3,0,39,4,2,263,16
40,0,63,211,68,0,5,162,34,49,0,0,4,0,2,0,2,9,65,171,0,0,0,0,7,0,84,15,0,3,0,45,4,0,272,10
41,3,56,212,66,0,3,98,33,37,0,1,0,0,0,0,2,3,59,123,0,0,0,0,2,0,93,21,0,3,0,40,1,0,224,9
42,3,49,221,39,0,11,133,25,23,0,1,2,0,2,0,1,0,58,102,0,0,0,0,5,0,70,6,0,5,0,45,4,0,233,11
43,2,71,201,61,0,7,146,55,46,0,5,1,0,0,1,1,4,77,147,0,0,0,0,7,0,101,12,0,5,0,57,6,0,212,10
44,3,83,211,61,0,3,125,47,46,0,1,0,0,0,1,0,2,59,177,0,0,0,0,4,0,95,10,0,7,0,36,11,0,252,7
45,0,74,173,62,0,2,121,40,53,0,2,2,0,0,1,4,7,61,153,0,0,0,0,4,0,123,15,0,7,0,55,14,0,243,12
46,1,80,222,54,0,4,149,41,48,0,0,2,0,0,2,2,9,71,170,0,0,0,0,6,0,102,25,0,5,0,40,6,0,239,16
47,2,73,222,61,0,5,143,38,49,0,0,1,0,0,0,4,4,60,152,0,0,0,0,5,0,66,18,0,16,0,38,5,1,243,7
48,3,66,229,45,0,1,124,30,34,0,0,0,0,1,1,3,5,66,123,0,0,0,0,4,0,68,13,0,4,0,30,7,0,211,9
49,0,54,242,35,0,7,132,23,20,0,3,1,0,2,1,3,1,61,133,0,0,0,0,6,0,66,6,0,2,0,51,5,2,221,3
50,4,63,179,47,0,3,144,44,24,0,2,0,0,0,0,1,2,55,246,0,0,0,0,4,0,81,13,0,4,0,44,3,0,234,14
51,5,72,225,65,0,6,146,45,56,0,1,1,0,4,0,2,7,60,147,0,0,0,0,0,0,91,19,0,4,0,31,5,0,249,15
52,2,87,195,61,0,5,119,51,52,0,3,0,0,0,0,1,4,75,162,0,0,0,0,7,0,102,17,0,10,0,40,3,0,216,11
53,3,72,196,65,0,2,111,38,45,0,0,1,0,0,1,4,3,58,157,0,0,0,0,5,0,75,19,0,3,0,37,5,0,215,11
54,0,70,219,64,0,5,120,29,44,0,0,2,0,0,1,2,4,59,159,0,0,0,0,7,0,100,15,0,11,0,36,1,2,243,8
55,2,48,239,50,0,6,167,32,32,0,0,3,0,1,1,2,2,73,162,0,0,0,0,6,0,73,18,0,3,0,54,4,0,250,9
56,3,58,252,49,0,4,177,35,15,0,1,1,0,1,1,1,3,56,142,0,0,0,0,7,0,76,11,0,6,0,34,4,0,213,12
57,2,79,236,70,0,2,138,37,31,0,3,0,0,0,5,3,6,65,145,0,0,0,0,3,0,86,9,0,7,0,38,6,0,222,10
58,0,92,216,89,0,9,123,33,50,0,4,1,0,0,1,2,4,56,146,0,0,0,0,3,0,94,19,0,16,0,42,5,1,233,8
59,2,84,214,58,0,7,119,36,47,0,0,1,0,2,1,6,3,72,154,0,0,0,0,5,0,90,17,0,6,0,29,4,1,259,9
60,4,97,236,74,0,11,184,45,60,0,1,2,0,0,1,1,5,65,173,0,0,0,0,19,0,143,18,0,10,0,53,14,3,362,10
61,2,115,257,71,0,4,173,50,42,0,3,0,0,1,1,6,9,50,176,0,0,0,0,5,0,90,14,0,4,1,43,5,0,260,15
62,8,61,270,56,0,9,157,46,29,0,2,3,0,2,0,1,3,75,175,0,0,0,0,5,0,82,15,0,4,0,55,8,0,242,15
63,2,73,258,42,0,6,155,28,18,0,2,2,0,1,0,2,1,70,141,0,0,0,0,6,0,86,13,0,13,0,52,2,0,180,9
64,3,65,184,49,0,2,130,25,48,0,3,1,0,0,0,4,3,58,213,0,0,0,0,4,0,102,12,0,3,0,32,5,0,279,7
65,3,95,234,47,0,1,118,39,61,0,3,0,0,0,0,2,5,64,152,0,0,0,0,6,0,89,24,0,17,0,40,1,1,232,13
66,2,102,247,51,0,4,152,40,59,0,2,1,0,0,0,1,4,85,171,0,0,0,0,3,0,80,15,0,10,0,42,3,0,277,18
67,3,90,252,80,0,7,138,50,56,0,0,1,0,0,1,2,1,74,149,0,0,0,0,15,0,83,26,0,8,0,35,7,1,262,15
68,6,103,249,69,0,4,153,40,39,0,1,1,0,2,1,4,5,74,154,0,0,0,0,8,0,97,33,0,6,0,59,5,0,286,20
69,4,76,269,43,0,6,135,29,34,0,3,5,0,1,0,2,2,66,151,0,0,0,0,2,0,78,12,0,11,0,43,1,0,286,7
70,3,87,267,44,0,3,154,26,24,0,0,1,0,2,0,2,3,74,100,0,0,0,0,7,0,87,9,0,6,0,45,5,0,190,5
71,3,80,246,70,0,6,128,37,40,0,3,1,0,0,2,2,8,44,162,0,0,0,0,4,0,102,9,0,4,0,43,7,0,255,8
72,3,102,217,68,0,3,143,36,47,0,1,1,0,1,0,2,2,63,174,0,0,0,0,4,0,90,17,0,7,0,39,7,1,251,12
73,4,105,246,60,0,4,138,33,47,0,2,0,0,1,1,3,9,58,156,0,0,0,0,5,0,93,13,0,13,0,46,4,1,264,11
74,2,109,230,61,0,3,116,37,52,0,2,0,0,0,0,0,4,78,117,0,0,0,0,3,0,99,6,0,8,0,46,5,0,272,8
75,2,98,240,62,0,6,130,32,45,0,0,0,0,0,0,5,2,77,111,0,0,0,0,6,0,93,14,0,1,0,48,7,0,272,5
76,3,75,219,58,0,4,112,28,28,0,0,1,0,2,0,3,3,73,103,0,0,0,0,2,0,71,14,0,7,0,39,3,1,233,6
77,3,72,278,57,0,5,126,37,24,0,1,0,0,1,1,0,4,69,128,0,0,0,0,9,0,85,13,0,11,0,45,6,1,202,13
78,3,103,240,73,0,5,139,31,46,0,6,1,0,0,2,1,6,77,172,0,0,0,1,5,0,90,18,0,11,0,37,6,0,262,9
79,4,96,266,59,0,3,177,50,42,0,1,1,0,0,2,2,5,76,187,0,0,0,0,6,0,98,24,0,15,0,42,5,0,257,15
80,2,99,274,60,0,4,142,45,53,0,0,2,0,0,0,4,5,75,183,0,0,0,1,3,0,94,20,0,15,0,37,11,2,225,17
81,2,108,238,55,0,2,159,50,55,0,6,0,0,0,1,5,5,64,203,0,0,0,0,11,0,88,21,0,13,0,37,4,1,235,10
82,2,100,271,73,0,9,182,33,52,0,1,2,0,0,2,5,13,75,166,0,0,0,0,7,0,96,21,0,16,0,53,8,0,279,15
83,1,55,253,63,0,3,160,34,25,0,1,4,0,0,0,3,1,88,191,0,0,0,0,3,0,92,16,0,6,0,55,6,4,266,8
84,1,66,202,37,0,8,159,24,19,0,1,2,0,1,1,1,4,83,122,0,0,0,0,6,0,100,29,0,10,0,45,6,0,167,8
85,2,89,216,55,0,6,125,39,40,0,1,2,0,2,0,0,1,65,162,0,0,0,0,7,0,85,12,0,0,1,36,6,0,256,7
86,6,118,245,82,0,3,157,39,46,0,2,0,0,1,1,3,6,55,154,0,0,0,0,8,0,100,16,0,11,0,56,8,0,279,13
87,5,124,264,49,0,3,150,28,49,0,0,2,0,0,2,1,2,62,143,0,0,0,0,5,0,104,18,0,9,0,37,9,1,241,13
