date,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
88,1,106,267,69,0,8,166,38,53,0,5,0,0,2,2,2,7,52,130,0,0,0,0,6,0,78,32,0,7,0,41,6,0,242,17
89,0,71,240,49,0,2,188,36,41,0,1,1,0,1,1,1,12,71,164,0,0,0,0,3,0,96,36,0,10,0,66,8,0,244,8
90,4,84,283,46,0,9,169,36,34,0,1,0,0,1,0,2,7,91,179,0,0,0,0,11,0,65,10,0,1,0,52,6,0,207,7
91,3,71,269,42,0,10,172,27,50,0,1,4,0,1,0,2,3,71,116,0,0,0,0,24,0,124,9,0,7,0,39,8,3,291,11
92,3,96,244,59,0,6,136,41,51,0,1,1,0,0,2,0,7,74,131,0,0,0,1,6,0,105,9,0,10,0,49,5,0,277,8
93,3,93,248,68,0,1,142,49,43,0,6,3,0,2,1,1,3,65,170,0,0,0,0,4,0,110,15,0,9,0,42,7,1,254,13
94,1,69,256,59,0,3,146,39,49,0,8,1,0,3,3,2,7,67,173,0,0,0,0,9,0,109,17,0,7,0,32,11,0,267,7
95,3,89,256,61,0,3,151,41,39,0,4,1,0,0,2,1,8,63,137,0,0,0,0,7,0,75,17,0,8,0,39,6,1,254,7
96,5,90,285,86,0,4,151,28,39,0,2,2,0,0,1,2,4,65,141,0,0,0,0,3,0,92,38,0,8,0,45,4,2,274,10
97,3,91,324,69,0,6,200,38,24,0,0,1,0,1,0,2,9,62,123,0,0,0,0,1,0,62,24,0,2,0,42,7,4,247,10
98,5,78,342,71,0,2,168,39,22,0,3,1,0,3,1,2,3,57,102,0,0,0,0,4,0,75,31,0,4,0,60,6,0,230,10
99,2,112,242,76,0,4,159,39,35,0,4,0,0,2,0,1,3,58,160,0,0,0,0,2,0,85,23,0,8,0,51,4,1,252,15
100,5,102,230,63,0,5,150,37,50,0,1,1,0,1,0,0,2,70,155,0,0,0,0,10,0,87,25,0,9,0,51,8,1,268,10
101,3,103,244,55,0,3,145,45,48,0,2,3,0,0,1,1,5,76,125,0,0,0,0,4,0,93,13,0,9,0,45,5,1,267,15
102,1,90,305,62,0,5,172,41,65,0,0,2,0,1,0,1,6,84,166,0,0,0,0,13,0,93,34,0,4,0,39,6,0,254,13
103,0,78,252,67,0,2,186,27,35,0,3,4,0,0,1,2,9,76,145,0,0,0,0,9,0,78,13,0,5,0,40,3,0,288,13
104,4,81,320,59,0,6,158,34,31,0,1,2,0,1,0,2,10,62,148,0,0,0,0,7,0,57,22,0,10,1,51,3,1,262,14
105,1,97,282,50,0,12,179,27,19,0,1,2,0,2,0,4,4,72,98,0,0,0,0,3,0,74,13,0,4,0,46,5,0,223,8
106,1,73,189,70,0,3,154,35,54,0,0,2,0,2,0,1,2,78,127,0,0,0,0,2,0,69,12,0,4,0,33,5,0,255,6
107,3,68,175,54,0,2,171,37,46,0,1,3,0,0,1,1,10,80,144,0,0,0,0,11,0,91,12,0,5,0,38,5,0,226,10
108,3,88,249,75,0,2,165,50,50,0,3,3,0,1,1,1,4,83,152,0,0,0,0,4,0,95,17,0,5,0,48,3,1,225,10
109,4,96,252,71,0,2,170,36,50,0,4,3,0,0,0,1,2,78,153,0,0,0,0,2,0,63,12,0,7,0,44,3,0,262,8
110,0,102,299,69,0,5,180,39,51,0,0,4,0,3,0,2,11,77,136,0,0,0,0,6,0,77,48,0,10,0,52,4,1,285,14
111,4,97,343,51,0,5,196,33,25,0,2,2,0,1,3,2,7,78,117,0,0,0,0,10,0,69,27,0,3,0,46,5,2,233,9
112,5,100,385,60,0,6,157,37,20,0,2,4,0,2,0,2,1,63,114,0,0,0,0,6,0,83,11,0,7,0,54,9,1,216,8
113,3,95,245,78,0,3,159,41,47,0,6,3,0,1,2,1,2,74,120,0,0,0,0,4,0,99,6,0,11,0,28,10,0,258,12
114,4,95,261,59,0,3,149,31,43,0,6,1,0,0,0,1,5,70,132,0,0,0,0,8,0,83,16,0,11,0,43,4,0,256,13
115,4,92,280,72,0,3,158,47,35,0,1,3,0,0,1,4,4,62,114,0,0,0,0,5,0,71,16,0,15,0,33,5,3,262,9
116,5,102,283,65,0,3,157,29,48,0,2,0,0,2,1,1,7,65,131,0,0,0,1,6,0,86,25,0,11,0,46,5,1,264,12
117,4,114,306,73,0,8,178,44,37,0,4,2,0,3,0,4,6,79,123,0,0,0,0,5,0,67,26,0,15,0,64,8,1,321,12
118,4,96,271,66,0,5,184,40,29,0,5,0,0,0,0,0,3,76,123,0,0,0,0,8,0,73,11,0,8,0,41,2,0,247,10
119,2,80,367,62,0,4,175,42,15,0,4,1,0,2,0,4,7,75,107,0,0,0,0,5,0,63,10,1,8,0,49,8,0,195,9
120,1,108,321,59,0,7,154,40,47,0,2,0,0,0,0,1,10,59,161,0,0,0,0,7,0,75,12,0,5,0,51,5,4,289,15
121,1,137,301,50,0,10,152,29,60,0,2,4,0,1,1,2,4,55,147,0,0,0,0,16,0,132,15,0,8,0,48,15,1,338,14
122,7,119,327,57,0,8,158,38,44,0,3,2,0,0,0,2,4,67,182,0,0,0,0,6,0,85,29,0,6,0,36,13,0,252,16
123,2,121,351,76,0,6,128,39,55,0,7,2,0,1,1,1,8,51,132,0,0,0,0,12,0,81,14,0,6,0,59,10,2,264,11
124,3,114,318,66,0,5,191,36,36,0,3,1,0,3,0,2,5,75,180,0,0,0,0,3,0,95,17,0,12,0,52,9,0,297,10
125,5,78,326,49,0,7,183,30,43,0,3,0,0,0,0,0,9,75,80,0,0,0,0,11,0,86,7,0,5,0,53,4,0,282,10
126,4,74,317,58,0,4,158,25,18,0,4,4,0,1,0,3,7,86,64,0,0,0,0,6,0,71,7,0,6,0,55,4,0,236,10
127,4,108,250,58,0,6,148,36,42,0,3,5,0,1,0,1,5,71,149,0,0,0,0,5,0,88,11,0,13,0,53,14,0,302,18
128,3,111,289,56,0,4,158,27,61,0,2,0,0,4,3,0,6,72,157,0,0,0,0,6,0,85,17,0,9,0,41,14,2,274,11
129,1,103,325,52,0,5,147,37,42,0,3,3,0,0,1,2,7,63,179,0,0,0,0,6,0,91,20,0,14,0,31,10,0,310,17
130,0,86,302,71,0,7,145,32,47,0,3,3,0,2,4,3,6,55,147,0,0,0,0,8,0,82,18,0,6,0,34,2,0,252,21
131,3,86,246,80,0,4,161,38,50,0,7,2,0,1,0,3,6,67,125,0,0,0,0,6,0,75,36,0,8,0,52,4,1,284,13
132,1,82,261,63,0,3,169,28,26,0,5,4,0,3,0,1,5,60,114,0,0,0,0,4,1,69,13,0,4,0,67,2,1,250,9
133,5,72,302,57,0,6,184,25,22,0,1,0,0,0,0,3,5,62,92,0,0,0,0,6,0,63,10,0,6,0,50,4,1,220,13
134,3,89,249,71,0,7,150,28,39,0,2,2,0,2,1,1,2,85,121,0,0,0,0,6,0,82,16,0,7,0,49,5,0,265,18
135,5,107,301,67,0,4,135,33,55,0,7,0,0,0,2,3,8,55,140,0,0,0,0,8,0,98,17,0,6,0,58,11,0,288,12
136,2,115,312,70,0,6,122,32,44,0,3,0,0,0,1,1,8,64,144,0,0,0,0,6,0,91,26,0,6,0,57,6,0,249,16
137,2,109,304,77,0,3,135,37,60,0,2,2,0,1,1,3,7,73,136,0,0,0,0,4,0,91,26,0,10,0,41,11,0,257,15
138,2,93,281,58,0,5,171,39,41,0,6,3,0,3,1,4,9,82,140,0,0,0,0,6,0,92,9,0,12,0,58,4,0,311,9
139,4,73,305,59,0,6,171,34,33,0,3,0,0,2,0,4,11,82,112,0,0,0,0,8,0,83,23,0,5,0,44,6,0,260,7
140,7,90,326,50,0,3,162,21,14,0,1,0,0,2,0,1,8,87,89,0,0,0,0,3,0,79,8,0,5,0,55,11,0,246,13
141,1,107,325,82,0,4,146,36,36,0,0,1,0,3,2,3,5,78,122,0,0,0,0,4,0,74,4,0,8,1,65,4,0,312,14
142,5,86,218,62,0,3,138,43,39,0,1,0,0,1,1,0,5,74,138,0,0,0,0,6,0,91,14,0,10,0,54,6,0,266,16
143,2,80,247,76,0,3,133,32,35,0,3,0,0,1,0,2,5,63,119,0,0,0,0,4,0,68,12,0,11,0,42,9,0,278,7
144,2,108,240,72,0,6,141,39,53,0,1,0,0,1,1,1,7,74,142,0,0,0,0,3,0,73,9,0,9,0,34,3,0,283,10
145,3,96,234,82,0,2,154,43,54,0,3,0,0,2,0,2,14,78,136,0,0,0,0,6,0,76,34,0,9,0,43,3,0,260,16
146,3,64,255,55,0,4,133,30,36,0,0,0,0,0,0,1,2,74,89,0,0,0,0,9,0,68,19,0,3,0,49,4,0,257,6
147,2,60,243,59,0,6,157,33,17,0,5,1,0,1,0,1,5,80,115,0,0,0,0,11,1,65,7,0,6,0,36,3,1,228,8
148,3,76,353,58,0,3,175,44,18,0,2,0,0,1,0,2,3,69,120,0,0,0,0,7,0,75,8,0,10,0,41,0,0,241,16
149,4,93,281,68,0,5,158,36,51,0,4,1,0,1,1,2,4,69,154,0,0,0,0,10,0,94,20,0,7,0,52,5,0,276,12
150,4,97,247,66,0,6,148,46,45,0,4,0,0,2,2,2,9,72,138,0,0,0,0,9,0,58,20,0,8,0,43,16,2,291,8
151,1,69,250,72,0,5,145,41,39,0,1,2,0,1,2,0,5,79,135,0,0,0,1,5,0,68,17,1,4,0,39,13,0,288,14
152,4,87,242,89,0,19,172,33,72,0,5,2,0,1,0,7,3,94,145,0,0,0,0,26,0,127,18,0,12,0,65,23,0,403,13
153,4,97,273,71,0,7,190,43,35,0,1,5,0,1,0,2,2,87,144,0,0,0,0,3,0,81,14,0,8,0,56,4,0,259,11
154,1,72,250,33,0,8,161,31,21,0,5,1,0,1,1,3,4,63,144,0,0,0,0,6,0,81,5,0,9,0,44,3,1,225,11
155,1,86,206,75,0,4,155,43,47,0,4,2,0,1,1,3,4,85,177,0,0,0,0,5,0,71,1,0,14,0,63,7,1,306,9
156,4,91,194,87,0,7,154,43,44,0,2,3,0,1,0,5,2,78,134,0,0,0,0,2,0,75,15,0,9,0,48,10,1,265,7
157,3,92,236,69,0,1,143,37,43,0,4,2,0,0,4,3,4,66,143,0,0,0,0,10,0,86,20,0,8,0,44,12,1,300,13
158,2,90,256,68,0,5,136,30,45,0,1,2,0,1,4,3,5,71,149,0,0,0,0,10,0,91,23,0,7,0,36,3,0,277,11
159,2,92,282,68,0,4,149,34,44,0,6,1,0,3,2,2,4,83,125,0,0,0,0,7,0,81,13,0,8,0,42,8,0,298,12
160,4,91,335,73,0,2,151,31,30,0,5,2,0,1,2,5,5,67,108,0,0,0,0,7,0,59,19,0,4,0,49,9,2,304,21
161,3,87,388,58,0,9,159,36,27,0,3,0,0,2,1,1,7,84,111,0,0,0,0,9,0,68,4,0,4,0,60,8,0,268,16
162,1,113,281,74,0,5,144,41,51,0,4,2,0,1,1,2,10,90,192,0,0,0,0,6,0,92,8,0,7,0,39,10,0,291,11
163,4,103,329,65,0,4,147,39,37,0,4,3,0,2,1,2,5,58,104,0,0,0,0,8,0,91,9,0,9,0,51,5,2,286,12
164,1,94,342,76,0,5,165,31,40,0,1,0,0,1,0,4,7,84,105,0,0,0,0,4,0,80,15,0,8,0,45,5,0,309,7
165,3,93,309,77,0,6,179,33,36,0,2,4,0,1,2,3,5,79,108,0,0,0,0,4,0,70,13,0,9,0,48,10,0,287,11
166,3,84,263,65,0,2,153,44,43,0,2,0,0,1,3,8,6,92,117,0,0,0,0,6,0,96,26,0,10,0,50,3,1,329,14
167,2,84,390,72,0,7,162,31,37,0,1,1,0,1,0,5,7,61,87,0,0,0,0,11,0,86,8,0,10,0,42,3,0,256,12
168,4,113,423,62,0,7,164,33,18,0,2,4,0,1,1,6,4,86,67,0,0,0,1,12,0,78,5,0,10,0,54,9,0,260,11
169,5,76,298,79,0,6,172,48,60,0,5,1,0,2,0,5,7,88,128,0,0,0,0,7,0,81,12,0,9,0,46,6,0,333,20
170,4,122,278,70,0,1,168,39,45,0,2,3,0,2,2,5,8,60,232,0,0,0,0,6,0,89,9,0,12,0,53,4,0,305,16
171,2,95,268,72,0,4,168,30,47,0,4,1,0,0,1,6,2,61,150,0,0,0,0,5,0,104,10,0,6,0,47,6,0,301,15
172,1,78,250,63,0,2,164,34,46,0,4,3,0,1,0,4,1,60,125,0,0,0,0,2,0,88,36,0,6,0,48,4,0,291,10
173,1,86,259,73,0,0,162,39,47,0,4,3,0,3,2,7,3,94,157,0,0,0,0,6,0,66,12,0,5,0,36,11,1,290,7
174,4,85,300,63,0,1,155,32,33,0,1,7,0,3,0,3,4,95,114,0,0,0,0,7,0,76,12,1,4,0,50,3,0,264,9
175,2,94,318,62,0,8,171,28,20,0,2,2,0,2,0,4,2,75,105,0,0,0,0,6,0,70,10,0,8,0,40,1,0,246,10
176,2,83,273,65,0,8,168,39,46,0,7,1,0,1,1,0,5,71,130,0,0,0,0,9,0,87,18,0,3,0,56,4,1,293,10
177,3,87,271,76,0,8,149,38,47,0,5,4,0,1,2,4,5,65,171,0,0,0,0,3,0,72,21,0,2,0,36,11,1,269,12
178,6,100,286,82,0,2,138,36,47,0,4,2,0,1,2,6,8,70,160,0,0,0,0,4,0,72,23,0,2,0,32,6,3,262,9
179,1,99,283,69,0,5,148,37,38,0,3,1,0,0,0,4,5,75,133,0,0,0,0,6,0,82,31,0,9,0,45,5,2,283,16
180,6,106,308,66,0,6,156,32,49,0,1,3,0,7,0,3,6,82,142,0,0,0,0,8,0,64,20,0,5,0,66,5,2,299,8
181,4,87,367,65,0,15,169,42,34,0,3,4,0,0,0,4,3,54,127,0,0,0,0,10,0,73,13,0,11,0,57,6,0,250,5
182,1,119,341,67,0,12,170,30,47,0,2,1,0,2,0,4,11,86,129,0,0,0,0,20,0,110,14,0,9,0,61,11,1,334,19
