,Latitude,Longitude
60328,42.002816386999996,-87.90609433
62254,41.88336939,-87.633860272
62596,41.825346902,-87.606780575
62629,42.016541612,-87.672499325
62630,41.825298645,-87.6069609
62704,41.976370778,-87.800502515
63156,41.875590103,-87.633515501
63295,41.793428981999995,-87.651212789
63297,41.852128156999996,-87.67890364
63330,41.917336159,-87.712375085
63361,41.837389316999996,-87.640177584
63362,41.924839894,-87.69405765
63363,41.676037163000004,-87.63775335
63426,41.884865037,-87.755230327
63428,41.75702248,-87.558073456
63446,41.862218265,-87.639087164
63447,41.961449077,-87.777058774
63448,41.857746163,-87.639711853
63449,41.745303445,-87.60016439799999
63469,41.932222582,-87.683432779
63470,41.976490526,-87.791494995
63471,41.884925408,-87.711120923
63500,41.742656445,-87.632018466
63501,41.872642689,-87.716306964
63533,41.697609261,-87.613507612
63534,41.911069616999995,-87.68724043899999
63535,41.960532919,-87.76315773700001
63574,41.893650526,-87.759290438
63649,41.903894777,-87.63181425100001
63940,41.902910635,-87.69848983600001
63975,41.764779221,-87.676280498
63976,41.833702334,-87.644958276
63988,41.897499466,-87.69313664399999
64001,41.774789128,-87.689625516
64002,41.897596066999995,-87.62321837299999
64017,41.737727690999996,-87.702064868
64030,41.87229779,-87.627812641
64062,41.974832155,-87.786680446
64067,41.721028724,-87.59353928899999
64068,41.75645779,-87.565113432
64070,41.781418541,-87.608405955
64082,41.670279025999996,-87.62242080600001
64083,41.863527271,-87.722653917
64089,41.722103131,-87.551068308
64091,41.809519024000004,-87.607384952
64093,41.912046196999995,-87.74592889200001
64095,41.750653534,-87.64337994899999
64098,41.918502559000004,-87.67879542899999
64099,41.938498334,-87.729628178
64100,41.885738286,-87.63576612
64101,41.976183409,-87.668801484
64104,41.747393001,-87.58543860700001
64107,41.852868298000004,-87.63091491
64108,41.771016576,-87.622724617
64110,42.00413735,-87.668128025
64112,41.895939389,-87.75440321
64113,41.925349997,-87.737891589
64115,42.007440916,-87.666161921
64116,41.923284685,-87.698648012
64117,41.896669722,-87.62876022799999
64118,41.769053315,-87.61856733399999
64121,41.696725665,-87.623224459
64123,41.736711088,-87.663087144
64130,41.751423014000004,-87.676816181
64133,41.783380448,-87.77098146799999
64134,41.762184391,-87.58622352299999
64136,41.878557088,-87.748398495
64137,41.72802938,-87.66284035700001
64142,41.688610361,-87.60953671200001
64147,41.796807255,-87.60560675
64149,41.879613461,-87.709266655
64154,41.901679344,-87.7213979
64158,41.792974653,-87.72315172299999
64159,41.799553224,-87.58789475299999
64162,41.73681344,-87.552802376
64163,41.892628411,-87.63115524
64164,41.779012821,-87.664208692
64165,41.903478069,-87.631433102
64167,41.844752355,-87.690704684
64169,41.869752476,-87.639747289
64171,41.781100462,-87.765509056
64172,41.924133516,-87.75437255
64173,41.792950892,-87.690122246
64174,41.838118825,-87.640555028
64175,41.689208485,-87.53769718
64179,41.963649894,-87.71077103299999
64180,41.864958112,-87.625775047
64182,41.702110528,-87.563219289
64183,41.877274235,-87.66187377899999
64184,41.868780233,-87.627458476
64185,41.711393621,-87.654944841
64186,41.789204622,-87.70343754299999
64187,41.826069047,-87.62485689399999
64188,41.766491296,-87.684910192
64189,41.830354044,-87.678707176
64190,41.823281439,-87.68488784799999
64191,41.814737762,-87.723843947
64194,41.780727412,-87.667886613
64195,41.896608801999996,-87.63315751799999
64196,41.755297327,-87.65265388700001
