Month,Day,Crimes,Date
1,1,1593.52631578947,1
1,2,897.947368421053,2
1,3,942.684210526316,3
1,4,920.684210526316,4
1,5,932.684210526316,5
1,6,910.157894736842,6
1,7,923.263157894737,7
1,8,939.526315789474,8
1,9,965.105263157895,9
1,10,981.842105263158,10
1,11,976.421052631579,11
1,12,981.631578947368,12
1,13,967.526315789474,13
1,14,952.578947368421,14
1,15,992.263157894737,15
1,16,963.157894736842,16
1,17,958.736842105263,17
1,18,936.052631578948,18
1,19,940.105263157895,19
1,20,939.631578947368,20
1,21,905.684210526316,21
1,22,915.684210526316,22
1,23,945.789473684211,23
1,24,945.263157894737,24
1,25,967.578947368421,25
1,26,951,26
1,27,946.368421052632,27
1,28,941.842105263158,28
1,29,922,29
1,30,913.789473684211,30
1,31,912.157894736842,31
2,1,1057.31578947368,32
2,2,910.157894736842,33
2,3,887.368421052632,34
2,4,899.210526315789,35
2,5,905.578947368421,36
2,6,918.421052631579,37
2,7,931.578947368421,38
2,8,918.263157894737,39
2,9,919.21052631579,40
2,10,908.210526315789,41
2,11,904.052631578947,42
2,12,897.315789473684,43
2,13,908.684210526316,44
2,14,933.842105263158,45
2,15,953.947368421053,46
2,16,923.526315789474,47
2,17,927.315789473684,48
2,18,936,49
2,19,900.526315789474,50
2,20,919.684210526316,51
2,21,914.368421052632,52
2,22,915.473684210526,53
2,23,927.842105263158,54
2,24,906.368421052632,55
2,25,914.78947368421,56
2,26,881.631578947368,57
2,27,917.631578947368,58
2,28,916.789473684211,59
2,29,986.25,60
3,1,1110.21052631579,61
3,2,920.473684210526,62
3,3,927.894736842105,63
3,4,907.631578947368,64
3,5,909.947368421053,65
3,6,935.789473684211,66
3,7,966.684210526316,67
3,8,964.78947368421,68
3,9,964.315789473684,69
3,10,982.210526315789,70
3,11,997.052631578947,71
3,12,995.105263157895,72
3,13,976.578947368421,73
3,14,991.789473684211,74
3,15,1029.63157894737,75
3,16,999.315789473684,76
3,17,1003.31578947368,77
3,18,998.315789473684,78
3,19,984.526315789474,79
3,20,980.421052631579,80
3,21,962.421052631579,81
3,22,966.736842105263,82
3,23,995.842105263158,83
3,24,997.421052631579,84
3,25,991.526315789474,85
3,26,996.894736842105,86
3,27,993.157894736842,87
3,28,989.947368421053,88
3,29,988.052631578947,89
3,30,1004.73684210526,90
3,31,991.315789473684,91
4,1,1158.31578947368,92
4,2,1000,93
4,3,983.210526315789,94
4,4,1002.63157894737,95
