Date,Crimes
1,30277
2,17061
3,17911
4,17493
5,17721
6,17293
7,17542
8,17851
9,18337
10,18655
11,18552
12,18651
13,18383
14,18099
15,18853
16,18300
17,18216
18,17785
19,17862
20,17853
21,17208
22,17398
23,17970
24,17960
25,18384
26,18069
27,17981
28,17895
29,17518
30,17362
31,17331
32,20089
33,17293
34,16860
35,17085
36,17206
37,17450
38,17700
39,17447
40,17465
41,17256
42,17177
43,17049
44,17265
45,17743
46,18125
47,17547
48,17619
49,17784
50,17110
51,17474
52,17373
53,17394
54,17629
55,17221
56,17381
57,16751
58,17435
59,17419
60,20421
61,18288
62,17731
63,17249
64,17031
65,17751
66,18309
67,18530
68,18313
69,18487
70,18994
71,18726
72,18764
73,18845
74,19453
75,19174
76,18782
77,19150
78,18519
79,18743
80,18500
81,18381
82,18749
83,18934
84,18574
85,19078
86,19098
87,18642
88,18684
89,19299
90,18799
91,21383
92,19617
93,18750
94,19013
95,18750
96,18903
97,18474
98,19193
99,19083
100,19699
101,19255
102,19135
103,18969
104,19147
105,20172
106,19504
107,19450
108,19266
109,19181
110,19804
111,18912
112,19441
113,19317
114,19496
115,19458
116,19481
117,19443
118,19154
119,19612
120,19202
121,21825
122,20016
123,19742
124,19782
125,20401
126,19774
127,19945
128,20272
129,20385
130,20442
131,19589
132,19617
133,19821
134,19793
135,20701
136,20513
137,20505
138,20377
139,20101
140,20317
141,20199
142,20222
143,20203
144,20552
145,20321
146,19834
147,19982
148,20311
149,20402
150,20681
151,20184
152,23152
153,21679
154,20539
155,20187
156,20190
157,20323
158,20737
159,20281
160,20380
161,20992
162,20426
163,20900
164,20691
165,20991
166,21116
167,20870
168,21195
169,20498
170,20352
171,20896
172,20810
173,20648
174,20467
175,20370
176,20760
177,20612
178,20655
179,20931
180,20984
181,20756
182,23228
183,21322
184,20334
185,20483
186,21460
187,20989
188,21012
189,20704
190,20852
191,21070
192,20646
193,21033
194,21581
195,20902
196,22004
197,21369
198,21188
199,21236
200,21014
201,21144
202,21102
203,21356
204,20794
205,20815
206,21186
207,21154
208,21255
209,21273
210,21244
211,21044
212,20742
213,23652
214,21447
215,21195
216,21233
217,21284
218,21212
219,20721
220,20942
221,20849
222,21225
223,21020
224,21023
225,20623
226,20651
227,21102
228,21011
229,20719
230,20857
231,20722
232,20906
233,20723
234,20295
235,20097
236,20879
237,21035
238,20823
239,20456
240,20470
241,20627
242,20946
243,20242
244,22961
245,21503
246,20115
247,19810
248,19585
249,20531
250,20718
251,20057
252,20134
253,20072
254,19902
255,20052
256,19875
257,20088
258,20517
259,20304
260,20146
261,20209
262,20146
263,20790
264,20724
265,20347
266,20386
267,20298
268,20309
269,20022
270,20016
271,19887
272,19614
273,19338
274,22467
275,20307
276,19280
277,19604
278,19506
279,19854
280,19578
281,19974
282,20025
283,19534
284,19619
285,19549
286,19355
287,19008
288,19977
289,19974
290,19742
291,19839
292,19773
293,20355
294,20143
295,19147
296,19464
297,19627
298,19727
299,19349
300,19427
301,19370
302,19413
303,19876
304,21243
305,23073
306,19793
307,19270
308,19057
309,18721
310,19120
311,18812
312,18883
313,18712
314,18726
315,18650
316,18335
317,18430
318,18420
319,19095
320,18801
321,18209
322,18455
323,18487
324,19100
325,18567
326,17530
327,17406
328,16923
329,16931
330,16933
331,17263
332,16967
333,17499
334,18269
335,19615
336,18172
337,17800
338,17887
339,17340
340,17441
341,17303
342,16952
343,16819
344,17318
345,17241
346,17610
347,18037
348,17869
349,18125
350,17303
351,17208
352,17209
353,17237
354,17785
355,17783
356,17204
357,16778
358,14669
359,11726
360,13923
361,15641
362,16385
363,16732
364,16691
365,15812
