date,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
1,0,70,296,66,0,39,233,29
2,0,66,143,68,0,2,118,35
3,1,79,165,57,0,7,136,35
4,1,57,173,55,0,2,133,29
5,3,68,178,55,0,6,142,29
6,4,67,236,64,0,4,156,36
7,0,61,218,51,0,7,129,42
8,3,67,192,53,0,3,104,36
9,3,63,212,75,0,3,120,52
10,2,88,199,71,0,1,113,40
11,2,89,222,62,0,4,111,37
12,4,78,239,69,0,5,150,35
13,5,79,251,53,0,9,154,41
14,1,72,249,44,0,5,134,34
15,1,62,203,71,0,3,130,42
16,0,58,219,65,0,8,124,50
17,3,72,205,76,0,4,126,37
18,2,69,232,69,0,9,115,41
19,2,47,200,65,0,1,141,36
20,6,53,239,53,0,3,143,33
21,0,51,222,38,0,2,121,38
22,1,64,181,65,0,1,99,41
23,3,60,208,66,0,4,117,45
24,1,67,181,53,0,3,87,50
25,0,73,184,72,0,4,115,55
26,2,77,206,77,0,5,151,41
27,2,67,233,52,0,4,128,32
