date,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1,67,2123,6525,1934,0,163,3966,1191,1393,1,44,42,0,36,18,75,101,2095,4714,0,0,0,2,243,1,2800,563,0,161,2,1396,218,26,7866,337
2,100,2621,8011,2664,0,148,5129,1142,1284,0,89,71,0,21,28,59,123,2899,4017,0,0,0,1,141,0,2221,473,1,313,0,1857,176,14,8998,427
3,65,2394,7098,2444,0,136,4698,1092,1178,0,77,64,0,47,19,74,132,2378,4350,0,0,0,3,158,0,2295,592,1,174,0,1595,160,17,7943,413
4,75,2078,6652,2113,0,116,4256,980,1257,0,50,49,0,26,23,86,96,2223,4338,0,0,0,0,171,0,2044,449,0,164,1,1636,144,17,7467,335
5,57,2029,6040,1666,0,135,3664,1063,1159,0,37,27,0,27,24,57,109,1785,4369,0,0,0,1,152,0,2487,426,1,173,0,1159,149,13,6669,301
6,93,2824,7658,1832,0,153,4615,1141,1308,0,55,37,0,22,22,72,147,2151,4862,0,0,0,2,194,0,2836,550,0,267,2,1399,184,17,7765,344
7,89,2746,8325,1931,0,133,4922,1133,1197,0,79,59,0,34,21,49,164,2119,4044,0,0,0,2,195,0,2483,564,1,229,1,1341,169,29,7702,321
8,94,2903,8886,1997,0,156,4756,1067,1255,0,94,42,0,41,25,56,194,2197,4038,0,0,0,1,210,2,2529,503,1,239,1,1491,225,11,8417,390
9,87,2767,8758,2087,0,168,4772,1087,1229,0,97,69,0,43,33,119,143,2278,4034,0,0,0,1,215,0,2437,443,1,228,0,1448,204,19,8609,349
10,124,3019,9112,2499,0,187,5271,1046,1184,0,99,78,0,32,23,107,164,2569,3897,0,0,0,2,210,2,2622,533,0,213,0,1658,242,16,9448,336
