date,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
11,87,3021,8368,2451,0,167,5107,1122,1281,0,109,58,0,36,16,88,133,2341,4237,0,0,0,2,185,0,2612,507,2,215,1,1704,210,13,9608,351
12,72,2859,8012,2393,0,141,4695,1176,1184,0,104,71,0,41,27,91,131,2514,3667,0,0,0,2,172,1,2291,423,1,374,0,1757,151,11,8773,370
13,93,2262,6700,2095,0,170,4221,1113,1216,0,50,45,0,36,26,72,113,2092,4777,0,0,0,3,277,0,2809,602,1,186,0,1471,156,12,7408,400
14,87,2736,8041,2285,0,155,5160,1281,1153,0,80,57,0,35,37,63,124,2259,4109,0,0,0,4,219,1,2869,597,1,243,0,1785,171,21,9187,384
15,69,2183,6619,2299,0,133,4116,1079,1036,0,45,39,0,28,21,59,120,2080,4047,0,0,0,2,204,0,2462,437,1,158,0,1541,150,22,7906,296
16,81,2052,6516,2338,0,126,4114,1151,1097,0,42,70,0,22,30,52,115,1848,4380,0,0,0,1,191,0,2521,464,0,143,0,1526,141,15,7827,309
17,90,2010,5826,1562,0,121,3761,1097,1010,0,48,32,0,25,13,57,82,1851,4800,0,0,0,1,151,0,2724,539,1,177,0,1139,133,19,6309,331
18,86,2425,7305,1721,0,135,4461,1235,1034,0,66,42,0,30,27,73,120,2084,4819,0,0,0,2,204,2,2946,500,0,208,0,1301,168,15,7223,353
19,82,2559,7727,1843,0,153,4796,1210,1220,0,78,43,0,30,34,73,137,2051,4572,0,0,0,1,200,1,2999,612,1,183,0,1373,170,17,7525,345
20,83,3179,8907,2070,0,156,4880,1195,1199,0,77,51,0,30,22,105,128,2026,4572,0,0,0,2,208,1,2869,596,1,227,0,1395,179,14,8339,402
21,84,3094,9520,2151,0,168,4962,1089,1142,0,121,66,0,32,28,75,156,1956,3917,0,0,0,5,247,0,2744,444,2,266,0,1527,254,14,8444,327
22,87,3123,9806,2448,0,175,5413,1146,1237,0,123,68,0,36,30,55,117,2341,4008,0,0,0,2,247,0,2674,574,0,246,0,1804,251,23,9641,338
23,85,2893,8540,2441,0,169,5103,1152,1246,0,124,77,0,18,28,78,91,2328,4132,0,0,0,2,226,0,2615,551,0,210,0,1941,191,15,9579,375
24,105,3005,8644,2370,0,170,4953,1132,1129,0,117,67,0,39,41,67,111,2205,3656,0,0,0,1,207,0,2367,492,0,210,2,1719,206,13,8939,421
25,63,2014,6128,2038,0,139,3793,1229,1160,0,36,39,0,40,38,47,124,1750,4742,0,0,0,2,303,0,2881,610,0,165,1,1324,181,26,7487,355
26,89,2580,7776,2349,0,130,4977,1263,1146,0,100,53,0,31,50,48,101,1980,5821,0,0,0,1,251,0,2525,580,0,219,0,1665,199,22,8924,447
27,83,2154,6580,2108,0,132,4583,1363,1073,0,80,51,0,35,27,56,92,1933,4703,0,0,0,1,252,0,2342,415,0,186,1,1418,156,17,7868,347
28,74,2059,6123,2076,0,94,4004,1197,1155,0,47,43,0,27,20,66,68,1923,3997,0,0,0,2,225,0,2328,525,1,165,0,1430,113,19,7692,318
29,58,1983,5687,1585,0,117,3430,1181,1011,0,37,31,0,24,12,37,124,1499,4382,0,0,0,0,201,2,2560,446,1,186,0,985,151,10,6496,273
30,72,2446,7400,1943,0,119,4493,1293,1100,0,65,52,0,31,33,58,115,1800,4289,0,1,0,0,245,0,2924,452,2,228,0,1310,146,23,7643,367
31,73,2450,7655,2035,0,121,5234,1216,1157,0,91,57,0,39,31,57,119,1895,4311,0,0,0,2,215,0,2755,488,0,185,0,1296,156,22,7794,335
32,94,2851,8252,2089,0,145,4874,1220,1164,0,121,59,0,32,34,84,123,1920,4419,0,0,0,1,267,0,2565,519,0,245,0,1447,184,21,8102,361
33,86,2619,8553,2103,0,149,4928,1140,1115,0,115,52,0,31,28,68,123,1905,3984,0,0,0,1,250,0,2529,483,0,226,0,1532,201,24,8199,371
34,84,2793,8464,2233,0,135,4966,1147,1131,0,132,68,0,31,30,57,93,2088,4079,0,0,0,1,279,0,2647,563,1,184,0,1630,219,22,9994,344
35,87,2822,8253,2330,0,186,5057,1307,1146,0,136,48,0,40,28,56,133,2035,4732,0,0,0,3,277,0,2715,563,0,209,0,1714,188,24,9846,334
36,92,2706,7508,2267,0,133,4672,1251,1098,0,128,51,0,47,33,71,96,2020,4829,0,0,0,2,273,0,2376,570,1,232,0,1581,180,17,8830,359
37,73,1959,6096,1758,0,155,3482,1311,1140,0,33,29,0,29,29,53,71,1788,4759,0,0,0,1,332,1,2724,539,1,191,0,1255,141,17,6773,366
38,53,2494,7544,2169,0,110,4995,1358,1133,0,102,34,0,49,33,39,71,1930,5057,0,0,0,1,239,0,2438,668,0,253,0,1514,148,20,8699,372
39,61,2021,6188,2204,0,87,4539,1314,1083,0,64,32,0,53,24,35,61,1851,4672,0,0,0,0,245,0,2260,625,1,181,0,1355,126,23,7397,339
40,51,1874,5887,2112,0,127,3846,1239,1135,0,32,31,0,42,18,47,58,1896,4301,0,0,0,3,239,1,2242,400,0,153,0,1365,93,13,6786,332
41,70,2064,6276,1584,0,120,3379,1319,978,0,45,36,0,37,32,53,75,1664,5029,0,0,0,0,281,0,2562,517,1,199,0,1027,127,21,6274,296
42,67,2584,7557,1875,0,119,4596,1494,1123,0,71,43,0,44,33,50,98,1908,5020,0,0,0,3,249,0,2795,646,1,228,0,1229,139,25,7485,373
43,57,2393,7335,1887,0,123,4495,1377,1107,0,112,30,0,39,34,45,81,1936,4829,0,0,0,2,244,0,2487,686,3,179,0,1143,142,21,7123,359
44,67,2777,8430,2014,0,145,4654,1337,1098,0,124,34,0,39,26,38,86,1968,4500,0,0,0,1,261,4,2551,671,0,240,0,1396,160,12,7729,417
45,68,2761,8326,2131,0,153,4860,1289,1101,0,130,46,0,52,32,33,99,1975,4254,0,0,0,0,245,1,2432,580,1,236,0,1336,186,15,8417,375
46,87,2720,8074,2324,0,145,4902,1277,1116,0,136,53,0,36,29,35,99,2029,4587,0,0,0,0,259,0,2295,700,0,225,0,1497,181,17,10071,344
47,63,2512,7635,2276,0,153,4935,1290,1137,0,158,53,0,46,28,23,90,1983,4950,0,0,0,1,235,1,2510,729,1,209,0,1420,187,18,10039,362
48,61,2691,7788,2230,0,138,4481,1308,1098,0,115,33,0,65,31,31,96,1877,5102,0,0,0,1,253,1,2236,715,0,201,1,1441,174,13,8670,362
49,37,1860,5921,1817,0,136,3409,1453,1111,0,34,20,0,41,20,26,40,1779,4754,0,0,0,0,343,0,2589,517,0,173,0,1149,168,9,6114,342
50,50,2291,7161,2468,0,140,5358,1371,1174,0,195,41,0,46,21,30,88,2149,4550,0,0,0,2,227,0,2136,458,0,240,0,1491,136,11,7746,381
51,60,1844,5965,2197,0,115,4795,1333,1123,0,81,29,0,40,23,35,79,1938,4409,0,0,0,1,193,0,2034,511,2,202,0,1462,117,12,7076,301
52,37,1717,5473,1974,0,101,3521,1312,1140,0,28,30,0,39,16,39,65,2027,4274,0,0,0,1,221,0,1970,367,0,158,0,1453,99,13,6329,265
53,44,1868,5700,1492,0,102,3583,1335,941,0,35,24,0,43,17,23,82,1591,4910,0,0,0,1,191,3,2300,583,0,168,0,942,120,8,5592,288
54,66,2214,6622,1783,0,117,4347,1538,1097,0,37,37,0,51,21,33,108,1906,5111,0,0,0,5,204,0,2602,578,0,234,0,1118,132,20,6570,354
55,67,2467,7578,1970,0,107,4763,1366,1123,0,88,36,0,46,26,24,94,1783,4939,0,0,0,0,246,0,2561,558,0,246,0,1201,137,18,7041,386
56,53,2626,8215,2179,0,120,5048,1423,1106,0,109,43,0,51,20,41,100,1884,4841,0,0,0,1,236,1,2448,544,0,263,0,1235,169,23,7276,413
57,68,2629,8141,2279,0,150,4803,1339,1194,0,98,50,0,53,26,34,93,1875,4433,0,0,0,2,280,0,2348,560,1,265,0,1411,165,21,7408,324
58,82,2554,8046,2395,0,159,5185,1368,1189,0,100,58,0,76,27,35,83,1827,4575,0,0,0,2,237,0,2454,438,1,287,0,1596,184,14,8492,342
59,66,2492,7622,2503,0,150,4943,1386,1205,0,148,53,0,72,24,41,79,1888,4796,0,0,0,2,265,2,2469,505,0,253,2,1523,182,22,8458,392
60,61,2504,7520,2446,0,156,4793,1431,1171,0,125,32,0,57,17,28,94,1850,4642,0,0,0,2,243,3,2117,505,0,241,0,1466,198,21,7582,318
61,46,1959,5962,2016,0,129,4688,1333,1141,0,39,29,0,52,31,32,100,2096,4707,0,0,0,2,320,2,2323,626,0,197,0,1301,131,20,7125,348
62,53,2138,6769,2280,0,136,5094,1269,1230,0,101,41,0,71,23,31,89,1700,4617,0,0,0,1,225,0,2325,594,0,302,3,1560,118,15,7512,364
63,71,1908,6090,1990,0,94,4545,1139,1175,0,74,43,0,60,19,21,78,1601,4598,0,0,0,1,211,0,2139,642,1,264,0,1404,93,15,6971,322
64,58,1923,5817,2090,0,104,4141,1105,1148,0,37,33,0,46,21,21,62,1597,4438,0,0,0,0,228,1,2138,404,1,228,1,1396,99,13,6723,267
65,45,1794,5397,1582,0,89,4028,1216,911,0,38,17,0,38,16,30,84,1712,4215,0,0,0,3,195,1,2184,545,2,179,1,1034,113,12,5565,253
66,65,2180,6879,1871,0,112,4661,1288,1143,0,58,34,0,76,17,33,105,1869,4658,0,0,0,3,234,2,2344,712,0,272,1,1136,121,18,6816,276
67,63,2182,7036,1702,0,125,4763,1156,1038,0,114,37,0,63,23,31,114,1733,4634,0,0,0,1,176,1,2256,628,0,227,0,1189,135,20,6724,305
68,65,2509,7756,2186,0,138,4828,1222,1116,0,168,42,0,60,25,36,78,1946,4913,0,0,0,1,242,0,2326,625,0,315,0,1311,143,14,7235,315
69,76,2311,7390,1994,0,116,4913,1144,1167,0,185,45,0,74,15,34,124,1975,4665,0,0,0,0,237,1,2205,597,0,291,0,1338,163,22,7456,276
70,70,2510,7947,2275,0,182,5253,1222,1156,0,169,66,0,80,25,30,95,1931,4701,0,0,0,2,246,1,2452,512,0,276,1,1466,157,13,8369,342
71,53,2338,6884,2235,0,114,5402,1237,1249,0,202,32,0,65,34,18,107,1976,4955,0,0,0,2,234,0,2267,634,0,237,0,1442,150,8,8236,385
72,61,2193,6739,2103,0,136,4808,1174,1120,0,183,57,0,73,27,22,99,1682,4712,0,0,0,1,214,0,2142,515,0,280,0,1391,148,16,7508,368
73,51,1722,5584,1845,0,151,3890,1304,1172,0,36,26,0,45,16,31,104,1559,4908,0,0,0,1,304,1,2299,572,0,215,0,1128,129,17,6632,363
74,54,2421,7009,2385,0,125,5325,1181,1141,0,119,38,0,70,21,21,92,1709,4476,0,0,0,1,232,0,2367,570,0,303,0,1433,124,24,8005,345
75,58,1899,5592,2323,0,112,4528,982,1189,0,67,29,0,46,17,32,91,1442,4290,0,0,0,1,223,0,2014,431,1,240,0,1485,89,22,6969,251
76,48,1744,5407,2039,0,106,3541,973,1275,0,27,34,0,38,14,26,51,1559,3744,0,0,0,2,226,0,1915,327,0,216,1,1400,91,9,6564,232
77,26,1555,4872,1339,0,95,2758,987,888,0,21,22,0,41,21,21,77,1318,4250,0,0,0,1,174,2,2007,545,0,208,0,779,92,11,4829,197
78,72,2297,6885,1757,0,116,4545,1175,1197,0,78,41,0,61,26,35,116,1484,4906,0,0,0,0,252,1,2419,510,0,303,0,1065,130,16,6545,318
79,52,2145,6606,1867,0,141,4589,1115,1106,0,101,36,0,65,19,30,90,1464,4659,0,0,0,3,260,0,2347,483,1,296,0,1149,120,11,6611,268
80,70,2732,7871,2233,0,135,5142,1297,1176,0,176,34,0,57,37,28,117,1600,4561,0,0,0,1,264,1,2333,562,0,353,0,1345,164,26,7445,328
81,82,2415,7763,2174,0,144,4699,1122,1224,0,212,47,0,59,18,27,118,1639,4476,0,0,0,0,238,0,2250,517,0,310,0,1365,169,13,7613,301
82,86,2566,7723,2270,0,147,5057,1193,1286,0,197,44,0,82,22,25,99,1611,4811,0,0,0,0,201,6,2325,500,1,294,0,1498,161,20,8445,319
83,53,2365,7015,2378,0,130,5007,1258,1338,0,204,47,0,52,19,23,110,1656,4767,0,0,0,1,288,0,2370,509,1,244,0,1419,130,29,8126,310
84,60,2452,7265,2248,0,149,4668,1112,1161,0,171,50,0,61,25,30,105,1532,4606,0,0,0,0,234,1,2217,561,1,333,0,1384,130,15,7372,322
85,42,1754,5491,1894,0,142,3858,1082,1240,0,23,34,0,32,16,30,70,1472,4127,0,0,0,2,283,0,2401,500,0,198,0,1269,130,17,6949,312
86,58,2148,6133,2631,0,125,4838,1169,1312,0,102,50,0,64,21,31,83,1491,3994,0,0,0,0,205,1,2136,506,0,284,0,1717,106,17,8260,405
87,49,1734,5436,2347,0,135,4361,1005,1198,0,40,40,0,49,24,24,55,1314,3857,0,0,0,0,196,1,2008,422,1,212,0,1505,115,10,7116,305
88,32,1532,4678,2240,0,91,3495,873,1244,0,13,30,0,25,9,32,30,1334,3136,0,0,0,0,230,0,1801,290,0,181,0,1428,101,9,6337,243
89,39,1762,5243,1560,0,97,3132,904,1067,0,20,20,0,32,18,33,64,1266,3906,0,0,0,0,188,0,2238,450,1,199,0,959,92,21,5531,205
90,55,2043,6209,1749,0,115,4288,989,1141,0,51,33,0,39,20,28,90,1667,4065,0,0,0,2,204,0,2328,429,0,261,0,1235,109,11,6505,311
91,53,2444,6727,1926,0,116,4419,1054,1277,0,104,47,0,52,29,33,87,1456,3671,0,0,0,0,191,3,2363,427,0,280,0,1217,122,13,7157,325
92,62,2508,7445,2260,0,112,4979,998,1279,0,155,42,0,54,31,35,97,1573,3825,0,0,0,1,225,3,2302,415,0,296,0,1367,134,18,7495,352
93,69,2434,7503,2159,0,147,4850,933,1269,0,164,52,0,52,25,29,96,1657,3573,0,0,0,1,211,0,2216,348,0,246,0,1337,155,18,7854,300
94,57,2430,7337,2582,0,142,5094,1097,1306,0,156,62,0,63,29,34,95,2015,4001,0,0,0,1,216,0,2377,402,0,286,0,1486,164,21,8651,387
95,68,2399,7150,2397,0,162,5105,1117,1325,0,223,48,0,60,18,20,72,1952,4488,0,0,0,2,248,3,2311,482,1,299,0,1561,134,15,8501,379
96,60,2259,6571,2473,0,156,4422,1089,1248,0,148,55,0,58,21,30,73,1684,3864,0,0,0,4,232,1,2052,470,1,271,0,1622,131,20,8077,353
97,36,1685,5037,1777,0,138,3224,981,1236,0,12,25,0,42,21,25,55,1232,3782,0,0,0,3,317,0,2257,411,1,197,0,1280,96,12,6047,322
98,46,1815,5238,2519,0,109,4255,891,1182,0,55,37,0,48,22,27,68,1447,3694,0,0,0,4,175,0,2188,352,1,327,0,1405,95,13,7151,370
99,52,1644,5067,2401,0,102,4016,839,1097,0,58,37,0,36,15,34,59,1411,3565,0,0,0,4,189,0,1939,270,0,245,0,1342,84,7,6550,327
100,42,1453,4494,2324,0,100,3035,766,1144,0,12,36,0,33,15,26,29,1539,3091,0,0,0,2,208,1,1783,242,0,187,0,1329,70,10,5964,252
101,45,1648,4961,1552,0,109,3239,827,1069,0,26,25,0,55,23,26,70,1125,3657,0,1,0,1,214,0,2126,366,0,211,0,978,93,19,5516,251
102,69,2062,6211,1912,0,129,4131,1047,1242,0,64,20,0,55,23,18,80,1219,3938,0,0,0,3,209,1,2374,411,1,288,0,1199,112,20,6550,300
103,51,2048,5862,2056,0,106,4099,967,1158,0,69,40,0,37,11,21,72,1138,3578,0,0,0,1,222,0,2278,298,0,246,0,1205,95,8,6555,346
104,55,2222,6826,2196,0,124,4476,1008,1123,0,116,47,0,57,25,21,67,1160,3665,0,0,0,1,216,2,2214,355,0,313,0,1408,118,14,6997,419
105,53,2120,6552,2333,0,113,4342,881,1248,0,119,45,0,35,15,24,57,1212,3471,0,0,0,1,236,1,2154,325,1,275,0,1387,106,23,6775,368
106,61,2097,6244,2508,0,139,4546,880,1121,0,158,57,0,48,15,25,68,1329,3522,0,0,0,1,187,1,2138,263,0,277,0,1613,144,13,7831,389
107,56,2052,6181,2660,0,133,4427,892,1116,0,171,48,0,63,18,17,68,1336,3849,0,0,0,0,208,1,2166,321,4,266,0,1485,130,12,7733,416
108,50,2015,5789,2529,0,133,3934,872,1117,0,131,43,0,64,28,29,53,1334,3730,0,0,0,0,210,0,1984,326,2,315,0,1349,113,17,7306,398
109,45,1486,4667,1957,0,139,2800,925,1102,0,12,22,0,50,23,32,58,1512,3816,0,0,0,1,293,0,1989,278,0,289,0,1221,101,17,6075,315
110,66,1841,5414,2486,0,126,3727,797,982,0,83,36,0,71,14,26,61,1786,3518,0,0,0,4,174,0,1852,178,1,322,0,1463,108,12,6908,337
111,33,1566,4649,2415,0,84,3311,744,877,0,34,33,1,58,12,23,53,1747,3300,0,0,0,3,197,1,1602,205,0,251,0,1266,69,19,6088,245
112,26,1268,4058,2126,0,89,2398,586,1019,0,9,23,0,43,5,15,21,1880,2780,0,0,0,2,201,0,1546,189,1,175,0,1170,65,14,5359,174
113,27,1435,4252,1479,0,81,2452,759,983,0,22,22,0,55,12,29,62,1077,3983,0,0,0,4,185,0,1757,203,0,230,0,722,62,12,4803,238
114,49,1901,6028,1988,0,128,3760,919,1103,0,48,31,0,68,21,34,68,1349,4395,0,0,0,2,230,1,2047,268,1,358,0,1003,89,10,6094,343
115,37,1970,5865,1994,0,105,3853,758,1116,0,107,46,0,67,23,30,85,1455,3787,0,0,0,3,219,1,1936,181,0,319,0,1121,82,20,6135,355
116,44,2087,6409,2248,0,132,3807,790,989,0,115,46,0,73,15,37,63,1692,3668,0,0,0,3,239,0,1992,202,1,342,0,1187,111,17,6722,373
117,55,2034,6332,2256,0,122,3586,753,1083,0,98,49,0,81,26,21,80,1513,3345,0,0,0,4,197,1,1930,224,1,333,0,1226,111,21,6912,321
118,51,2054,6310,2331,0,124,3742,769,1154,0,143,42,0,77,15,21,69,1572,3517,0,1,0,5,212,1,1886,173,0,282,0,1321,103,16,7194,326
119,48,2016,6057,2707,0,123,3748,828,1073,0,137,57,0,79,15,22,59,1681,3669,0,0,0,0,232,1,1816,212,1,309,0,1316,123,13,7489,322
120,41,1878,5362,2435,0,117,3469,773,1048,0,119,31,0,75,16,23,57,1765,3615,0,0,0,3,193,0,1659,172,1,328,0,1258,102,18,6977,355
121,40,1390,4434,1954,0,142,2638,722,970,0,10,28,0,60,10,19,56,1862,3454,0,0,0,3,245,0,1826,242,0,197,0,1105,101,13,5419,266
122,44,1708,5069,2460,0,138,3286,746,1212,0,66,44,0,93,18,24,56,1488,2980,0,0,0,4,184,2,1638,207,1,258,0,1401,81,16,6674,376
123,37,1455,4363,2293,0,109,2990,622,1093,0,28,37,0,93,10,27,32,1509,3039,0,0,0,3,157,1,1587,204,2,208,0,1215,85,16,6139,284
124,36,1409,4438,2196,0,108,2820,618,1132,0,15,38,0,83,13,24,29,1504,2921,0,0,0,1,215,0,1403,191,1,201,0,1228,70,15,6002,311
125,22,1284,3767,1427,0,111,2398,612,792,0,10,24,0,55,16,17,37,1295,2894,0,0,0,5,155,0,1510,202,0,194,0,757,66,9,4368,205
126,50,1666,5176,1837,0,101,2970,759,1019,0,21,23,0,61,16,16,45,1641,3754,0,0,0,5,205,0,1900,201,0,272,0,955,73,17,5639,275
127,60,1793,5091,2044,0,111,3353,714,986,0,51,30,0,62,8,28,67,1702,3194,0,0,0,4,215,0,1881,150,0,270,0,1008,81,18,5868,314
128,48,1952,5796,2469,0,141,3438,782,1111,0,70,38,0,85,15,22,53,1807,3044,0,0,0,3,216,0,1678,136,1,326,0,1247,107,16,6609,377
129,37,1967,5887,2415,0,141,3483,779,1063,0,106,45,0,93,14,30,59,1807,3179,0,0,0,4,222,0,1773,172,3,318,0,1180,103,13,7027,392
130,47,2028,6231,2398,0,130,3593,770,987,0,133,55,0,124,18,23,67,1761,3339,0,0,0,3,207,1,1710,186,0,296,0,1279,118,15,7359,377
131,43,1958,5433,2613,0,126,3311,793,1121,0,129,36,0,129,16,18,68,1576,3528,0,0,0,0,159,0,1760,283,4,260,0,1330,101,19,7413,360
132,40,1801,4773,2514,0,131,3052,742,1204,0,97,40,0,110,17,18,50,1436,3279,0,0,0,5,191,1,1526,250,1,295,0,1278,94,14,6632,343
133,39,1294,4309,1757,0,128,2660,662,1137,0,9,43,0,80,10,17,50,1440,3271,0,0,0,4,254,0,1538,194,2,189,0,1011,138,24,5713,317
134,29,1728,4735,2128,0,114,2927,700,1260,0,45,37,0,83,12,25,39,1377,2562,0,0,0,2,195,1,1463,189,2,277,0,1232,77,21,6399,311
135,25,1404,4259,1992,0,115,2744,599,1270,0,37,39,0,92,9,15,43,1414,2443,0,0,0,3,171,2,1320,146,1,216,0,1211,62,19,6083,298
136,32,1388,4148,1808,0,104,2703,584,1208,0,22,25,0,79,16,18,30,1413,2437,0,0,1,3,164,0,1310,111,0,203,0,1194,57,16,5866,279
137,23,1324,3961,1398,0,103,2350,698,1005,0,17,28,0,105,11,14,52,1151,3581,0,0,0,1,166,0,1548,198,1,207,0,696,64,17,4887,270
138,40,1856,5276,1638,0,105,3144,686,1084,0,44,53,0,100,13,15,74,1354,3542,0,0,0,3,212,0,1490,267,0,300,0,845,112,20,5938,353
139,48,1626,4695,1646,0,109,3081,677,1083,0,62,41,0,99,15,23,53,1334,3027,0,0,0,2,151,0,1467,173,0,226,0,975,76,15,6191,286
140,42,1929,5840,1924,0,130,3271,706,1085,0,65,50,0,106,17,20,37,1466,3068,0,2,0,3,185,0,1530,135,2,317,0,1267,104,13,6463,321
141,44,1896,5805,2063,0,130,3502,658,1106,0,107,49,0,131,7,21,51,1469,3061,0,0,0,0,207,0,1494,210,1,258,0,1282,111,16,7071,330
142,48,1929,5971,2276,0,154,3424,772,1128,0,103,50,0,122,17,21,42,1422,3222,0,3,0,0,204,0,1515,209,5,268,0,1332,97,18,7263,360
143,56,1890,5376,2221,0,131,3092,771,1220,0,127,56,0,130,11,21,45,1346,2663,0,1,0,2,181,2,1469,198,1,261,0,1272,82,15,7027,374
144,43,1635,4761,1992,0,107,2956,703,1111,0,86,44,0,101,18,25,57,1306,2611,0,0,1,3,157,1,1337,174,2,285,0,1168,89,13,6561,408
145,30,1396,3926,1584,0,133,2501,741,1288,0,1,41,2,101,5,23,40,1470,2939,0,0,0,2,279,0,1610,163,0,209,0,1094,112,12,5465,315
146,22,1511,4453,1599,0,111,2629,680,1109,0,55,33,0,86,12,12,29,928,2721,1,0,0,1,187,0,1357,112,0,287,0,994,91,12,6205,232
147,21,1254,3769,1478,0,103,2380,614,1219,0,9,28,0,79,8,23,34,890,2732,1,1,0,2,188,0,1382,146,2,186,0,928,60,14,5808,202
148,24,1142,3640,1438,0,82,2062,530,1137,0,1,38,0,94,12,14,20,1004,2229,0,1,0,1,209,1,1279,43,1,170,0,1075,55,13,5320,218
149,21,1182,3495,1171,0,88,1874,656,1064,0,13,14,0,75,11,22,33,1248,2833,0,0,0,2,196,0,1465,147,0,210,0,731,73,6,4544,226
150,33,1416,4374,1247,0,107,2498,699,1199,0,13,17,0,119,10,19,65,1090,3303,0,1,0,1,219,0,1652,175,0,265,0,772,77,14,5339,240
151,30,1612,4636,1366,0,84,2717,713,1211,0,54,25,0,130,14,11,35,927,2974,0,0,0,1,170,0,1567,156,1,295,0,849,83,16,5562,287
152,45,1843,5216,1563,0,112,2990,729,1193,0,81,47,0,128,16,26,47,962,3079,0,1,0,2,202,0,1599,177,1,366,0,976,102,13,6165,310
153,34,1760,5464,1477,0,124,2829,683,1069,0,98,45,0,122,8,27,59,1039,2674,0,0,0,3,201,1,1511,119,3,326,0,990,86,15,6292,316
154,40,1634,5264,1567,0,129,2840,680,1125,0,102,47,0,108,14,21,28,1039,2975,0,0,0,6,187,0,1620,151,1,291,0,1224,97,9,7122,302
155,36,1610,5043,1771,0,135,2879,778,1143,0,81,51,0,129,15,26,29,1030,3021,1,0,0,2,167,2,1589,123,0,249,0,1110,107,12,7180,329
156,28,1612,4723,1634,0,111,2654,633,1060,0,88,43,0,110,9,18,46,955,2647,0,0,0,2,190,1,1364,140,1,281,0,1077,92,18,6529,269
157,22,1037,3336,1137,0,112,1790,576,1300,0,1,20,0,90,10,20,32,817,2224,0,0,0,0,287,0,1420,69,0,169,0,798,89,7,4448,201
158,28,1504,4068,1358,3,116,2496,678,1284,0,41,37,0,110,9,20,47,922,2383,0,4,0,3,190,1,1352,142,0,298,0,960,94,12,5562,265
159,38,1160,3675,1135,0,126,2262,556,1171,0,11,39,0,97,5,13,25,848,2133,0,2,0,5,177,1,1301,149,1,198,0,795,63,9,4540,223
